name,sigma,err_sigma,V0,err_V0,chi2_dof
default_allR,0.13860242692812735,0.002078892097430625,0.06856563918210967,0.0024684694207350493,9.931965724094447
late_only_allR,0.13462008389216862,0.003524698608332455,0.07168715601133115,0.003976069202562411,3.4474015364442465
R1_123_R23_late,0.13688483739120097,0.0020431076284814415,0.07262052552111023,0.00229591984479079,8.119931443742109
default_R23_only,0.12029857734957786,0.0061688232681094924,0.11177737749998803,0.013931900415327566,nan
late_R23_only,0.11577623592925976,0.010743644295437728,0.11581223776194051,0.02409541350932816,nan
