R,V,err,chi2_dof
1,0.20688204164332463,0.0008517885557751079,0.8976710031049566
2,0.3523745321991443,0.0028941432974173317,1.6296542203390805
3,0.4726731095487214,0.005447780748817228,1.4662161580370294
