sweep,R,T,W
510,1,1,0.749091
510,1,2,0.54134
510,1,3,0.379447
510,2,1,0.595581
510,2,2,0.385475
510,2,3,0.248568
520,1,1,0.711084
520,1,2,0.528067
520,1,3,0.408509
520,2,1,0.504359
520,2,2,0.254177
520,2,3,0.211219
530,1,1,0.714949
530,1,2,0.535514
530,1,3,0.39161
530,2,1,0.564385
530,2,2,0.379732
530,2,3,0.211216
540,1,1,0.677313
540,1,2,0.504999
540,1,3,0.41791
540,2,1,0.462722
540,2,2,0.293911
540,2,3,0.206265
550,1,1,0.710746
550,1,2,0.563818
550,1,3,0.456495
550,2,1,0.536705
550,2,2,0.368096
550,2,3,0.233416
560,1,1,0.727771
560,1,2,0.541169
560,1,3,0.437115
560,2,1,0.545389
560,2,2,0.335586
560,2,3,0.266898
570,1,1,0.757644
570,1,2,0.59454
570,1,3,0.415246
570,2,1,0.589192
570,2,2,0.404972
570,2,3,0.242974
580,1,1,0.705815
580,1,2,0.519745
580,1,3,0.382224
580,2,1,0.519271
580,2,2,0.326384
580,2,3,0.236818
590,1,1,0.736795
590,1,2,0.577898
590,1,3,0.440482
590,2,1,0.550593
590,2,2,0.341857
590,2,3,0.226997
600,1,1,0.755119
600,1,2,0.602804
600,1,3,0.478745
600,2,1,0.599904
600,2,2,0.329758
600,2,3,0.167632
610,1,1,0.721556
610,1,2,0.526723
610,1,3,0.37452
610,2,1,0.522088
610,2,2,0.307378
610,2,3,0.111118
620,1,1,0.738409
620,1,2,0.574661
620,1,3,0.418402
620,2,1,0.554211
620,2,2,0.332042
620,2,3,0.165787
630,1,1,0.731619
630,1,2,0.563141
630,1,3,0.394438
630,2,1,0.537892
630,2,2,0.302085
630,2,3,0.0840315
640,1,1,0.716535
640,1,2,0.549765
640,1,3,0.396907
640,2,1,0.496562
640,2,2,0.264399
640,2,3,0.124293
650,1,1,0.706553
650,1,2,0.525698
650,1,3,0.398444
650,2,1,0.526086
650,2,2,0.283193
650,2,3,0.197284
660,1,1,0.745248
660,1,2,0.571628
660,1,3,0.453163
660,2,1,0.582796
660,2,2,0.396423
660,2,3,0.319709
670,1,1,0.710248
670,1,2,0.510679
670,1,3,0.367176
670,2,1,0.507241
670,2,2,0.246414
670,2,3,0.120362
680,1,1,0.726885
680,1,2,0.554167
680,1,3,0.421515
680,2,1,0.570172
680,2,2,0.329406
680,2,3,0.230755
690,1,1,0.730543
690,1,2,0.508564
690,1,3,0.374348
690,2,1,0.527999
690,2,2,0.257117
690,2,3,0.134721
700,1,1,0.692552
700,1,2,0.493301
700,1,3,0.344359
700,2,1,0.463216
700,2,2,0.169802
700,2,3,0.0257788
710,1,1,0.714878
710,1,2,0.521081
710,1,3,0.362023
710,2,1,0.542976
710,2,2,0.33389
710,2,3,0.160093
720,1,1,0.703886
720,1,2,0.501873
720,1,3,0.343506
720,2,1,0.523671
720,2,2,0.292898
720,2,3,0.169698
730,1,1,0.71788
730,1,2,0.54485
730,1,3,0.387448
730,2,1,0.546321
730,2,2,0.318163
730,2,3,0.137782
740,1,1,0.718312
740,1,2,0.519368
740,1,3,0.334593
740,2,1,0.50241
740,2,2,0.264648
740,2,3,0.173627
750,1,1,0.707864
750,1,2,0.475787
750,1,3,0.359088
750,2,1,0.543591
750,2,2,0.297917
750,2,3,0.179058
760,1,1,0.731589
760,1,2,0.565772
760,1,3,0.411706
760,2,1,0.551697
760,2,2,0.356268
760,2,3,0.236672
770,1,1,0.761188
770,1,2,0.60605
770,1,3,0.478316
770,2,1,0.561782
770,2,2,0.364341
770,2,3,0.24025
780,1,1,0.685819
780,1,2,0.538231
780,1,3,0.40782
780,2,1,0.459074
780,2,2,0.321846
780,2,3,0.272954
790,1,1,0.754948
790,1,2,0.577817
790,1,3,0.464776
790,2,1,0.573133
790,2,2,0.37723
790,2,3,0.287821
800,1,1,0.723027
800,1,2,0.537343
800,1,3,0.444638
800,2,1,0.550337
800,2,2,0.335776
800,2,3,0.274341
810,1,1,0.707902
810,1,2,0.490677
810,1,3,0.362204
810,2,1,0.480334
810,2,2,0.256249
810,2,3,0.202845
820,1,1,0.698824
820,1,2,0.510517
820,1,3,0.399289
820,2,1,0.519418
820,2,2,0.234873
820,2,3,0.103584
830,1,1,0.736025
830,1,2,0.534691
830,1,3,0.363164
830,2,1,0.543676
830,2,2,0.271842
830,2,3,0.114051
840,1,1,0.729706
840,1,2,0.539721
840,1,3,0.413834
840,2,1,0.56501
840,2,2,0.339181
840,2,3,0.221293
850,1,1,0.731916
850,1,2,0.539065
850,1,3,0.360571
850,2,1,0.535114
850,2,2,0.275198
850,2,3,0.0552831
860,1,1,0.67517
860,1,2,0.459906
860,1,3,0.27636
860,2,1,0.454031
860,2,2,0.203816
860,2,3,0.0629043
870,1,1,0.699393
870,1,2,0.516358
870,1,3,0.372545
870,2,1,0.448366
870,2,2,0.262057
870,2,3,0.0898952
880,1,1,0.731023
880,1,2,0.504799
880,1,3,0.324892
880,2,1,0.523065
880,2,2,0.228209
880,2,3,0.080494
890,1,1,0.737155
890,1,2,0.557898
890,1,3,0.392501
890,2,1,0.532684
890,2,2,0.276532
890,2,3,0.0916848
900,1,1,0.697379
900,1,2,0.447238
900,1,3,0.271516
900,2,1,0.463494
900,2,2,0.177751
900,2,3,0.0981796
910,1,1,0.735545
910,1,2,0.547704
910,1,3,0.418246
910,2,1,0.559803
910,2,2,0.349647
910,2,3,0.177781
920,1,1,0.72519
920,1,2,0.579744
920,1,3,0.429121
920,2,1,0.524615
920,2,2,0.39137
920,2,3,0.242461
930,1,1,0.738638
930,1,2,0.55187
930,1,3,0.452303
930,2,1,0.553701
930,2,2,0.344623
930,2,3,0.183829
940,1,1,0.777267
940,1,2,0.593204
940,1,3,0.438972
940,2,1,0.592005
940,2,2,0.381806
940,2,3,0.237854
950,1,1,0.722264
950,1,2,0.554064
950,1,3,0.480506
950,2,1,0.486732
950,2,2,0.266775
950,2,3,0.17259
960,1,1,0.727091
960,1,2,0.553634
960,1,3,0.432847
960,2,1,0.501277
960,2,2,0.273242
960,2,3,0.197405
970,1,1,0.703701
970,1,2,0.514346
970,1,3,0.367789
970,2,1,0.492013
970,2,2,0.31561
970,2,3,0.200933
980,1,1,0.711761
980,1,2,0.536177
980,1,3,0.419996
980,2,1,0.524554
980,2,2,0.308624
980,2,3,0.164141
990,1,1,0.751976
990,1,2,0.556559
990,1,3,0.426437
990,2,1,0.564379
990,2,2,0.229135
990,2,3,0.0788292
1000,1,1,0.714602
1000,1,2,0.534358
1000,1,3,0.416751
1000,2,1,0.535456
1000,2,2,0.279172
1000,2,3,0.19807
1010,1,1,0.721963
1010,1,2,0.514728
1010,1,3,0.356443
1010,2,1,0.586756
1010,2,2,0.317726
1010,2,3,0.188471
1020,1,1,0.750674
1020,1,2,0.592679
1020,1,3,0.422863
1020,2,1,0.611552
1020,2,2,0.40278
1020,2,3,0.204961
1030,1,1,0.764574
1030,1,2,0.617983
1030,1,3,0.494944
1030,2,1,0.576933
1030,2,2,0.390821
1030,2,3,0.322244
1040,1,1,0.726906
1040,1,2,0.5238
1040,1,3,0.383323
1040,2,1,0.549423
1040,2,2,0.346135
1040,2,3,0.210596
1050,1,1,0.725367
1050,1,2,0.542456
1050,1,3,0.403693
1050,2,1,0.591504
1050,2,2,0.391219
1050,2,3,0.270712
1060,1,1,0.698933
1060,1,2,0.520305
1060,1,3,0.390286
1060,2,1,0.505193
1060,2,2,0.317423
1060,2,3,0.210393
1070,1,1,0.735824
1070,1,2,0.564526
1070,1,3,0.42189
1070,2,1,0.56493
1070,2,2,0.378491
1070,2,3,0.26259
1080,1,1,0.709351
1080,1,2,0.512168
1080,1,3,0.375588
1080,2,1,0.549619
1080,2,2,0.356402
1080,2,3,0.277045
1090,1,1,0.736595
1090,1,2,0.572768
1090,1,3,0.424532
1090,2,1,0.587253
1090,2,2,0.371035
1090,2,3,0.183634
1100,1,1,0.698884
1100,1,2,0.519288
1100,1,3,0.361551
1100,2,1,0.488901
1100,2,2,0.281092
1100,2,3,0.132891
1110,1,1,0.754827
1110,1,2,0.601404
1110,1,3,0.486453
