sweep,R,T,W
4040,1,1,0.824798
4040,1,2,0.700001
4040,1,3,0.595415
4040,1,4,0.504165
4040,1,5,0.426745
4040,1,6,0.365881
4040,2,1,0.698349
4040,2,2,0.531241
4040,2,3,0.407869
4040,2,4,0.312167
4040,2,5,0.239931
4040,2,6,0.189599
4040,3,1,0.595343
4040,3,2,0.41225
4040,3,3,0.29375
4040,3,4,0.206717
4040,3,5,0.150114
4040,3,6,0.11008
4040,4,1,0.509989
4040,4,2,0.320263
4040,4,3,0.216084
4040,4,4,0.140604
4040,4,5,0.103159
4040,4,6,0.0725181
4040,5,1,0.436047
4040,5,2,0.248118
4040,5,3,0.16033
4040,5,4,0.0994528
4040,5,5,0.0718946
4040,5,6,0.0432791
4080,1,1,0.825142
4080,1,2,0.697089
4080,1,3,0.593222
4080,1,4,0.503223
4080,1,5,0.426823
4080,1,6,0.364558
4080,2,1,0.694862
4080,2,2,0.516593
4080,2,3,0.393162
4080,2,4,0.296389
4080,2,5,0.224427
4080,2,6,0.174987
4080,3,1,0.588236
4080,3,2,0.389858
4080,3,3,0.273357
4080,3,4,0.18687
4080,3,5,0.132776
4080,3,6,0.0985294
4080,4,1,0.497142
4080,4,2,0.291472
4080,4,3,0.192675
4080,4,4,0.123249
4080,4,5,0.0875712
4080,4,6,0.0654652
4080,5,1,0.421945
4080,5,2,0.21854
4080,5,3,0.142549
4080,5,4,0.0800318
4080,5,5,0.0547166
4080,5,6,0.0416425
4120,1,1,0.822661
4120,1,2,0.693375
4120,1,3,0.586835
4120,1,4,0.498835
4120,1,5,0.421732
4120,1,6,0.356654
4120,2,1,0.692001
4120,2,2,0.513477
4120,2,3,0.387354
4120,2,4,0.298672
4120,2,5,0.226297
4120,2,6,0.172953
4120,3,1,0.587823
4120,3,2,0.390668
4120,3,3,0.270006
4120,3,4,0.194299
4120,3,5,0.134533
4120,3,6,0.0910731
4120,4,1,0.501782
4120,4,2,0.301853
4120,4,3,0.193856
4120,4,4,0.13306
4120,4,5,0.0899012
4120,4,6,0.0557216
4120,5,1,0.429106
4120,5,2,0.23555
4120,5,3,0.144724
4120,5,4,0.0938971
4120,5,5,0.0601343
4120,5,6,0.0342774
4160,1,1,0.826512
4160,1,2,0.698782
4160,1,3,0.591337
4160,1,4,0.500911
4160,1,5,0.425643
4160,1,6,0.360415
4160,2,1,0.699448
4160,2,2,0.52422
4160,2,3,0.398099
4160,2,4,0.30403
4160,2,5,0.233933
4160,2,6,0.174838
4160,3,1,0.593586
4160,3,2,0.398589
4160,3,3,0.273043
4160,3,4,0.190204
4160,3,5,0.136159
4160,3,6,0.0933176
4160,4,1,0.507164
4160,4,2,0.307181
4160,4,3,0.196322
4160,4,4,0.125823
4160,4,5,0.0826892
4160,4,6,0.052475
4160,5,1,0.432273
4160,5,2,0.232422
4160,5,3,0.138714
4160,5,4,0.0829288
4160,5,5,0.0485988
4160,5,6,0.0289954
4200,1,1,0.823526
4200,1,2,0.695647
4200,1,3,0.587738
4200,1,4,0.496757
4200,1,5,0.41923
4200,1,6,0.356739
4200,2,1,0.694182
4200,2,2,0.520172
4200,2,3,0.39412
4200,2,4,0.300587
4200,2,5,0.226799
4200,2,6,0.17365
4200,3,1,0.587294
4200,3,2,0.389031
4200,3,3,0.262597
4200,3,4,0.181072
4200,3,5,0.123301
4200,3,6,0.0858679
4200,4,1,0.497955
4200,4,2,0.293603
4200,4,3,0.171489
4200,4,4,0.104282
4200,4,5,0.0615398
4200,4,6,0.0373079
4200,5,1,0.422708
4200,5,2,0.225548
4200,5,3,0.116315
4200,5,4,0.0605774
4200,5,5,0.0341751
4200,5,6,0.0193282
4240,1,1,0.825791
4240,1,2,0.699926
4240,1,3,0.596475
4240,1,4,0.50817
4240,1,5,0.434471
4240,1,6,0.371653
4240,2,1,0.697325
4240,2,2,0.524834
4240,2,3,0.402072
4240,2,4,0.309907
4240,2,5,0.240098
4240,2,6,0.186448
4240,3,1,0.589977
4240,3,2,0.396894
4240,3,3,0.276329
4240,3,4,0.194346
4240,3,5,0.139928
4240,3,6,0.0933003
4240,4,1,0.500288
4240,4,2,0.301341
4240,4,3,0.190353
4240,4,4,0.121985
4240,4,5,0.0800586
4240,4,6,0.0525418
4240,5,1,0.422882
4240,5,2,0.224213
4240,5,3,0.129809
4240,5,4,0.0703723
4240,5,5,0.0393437
4240,5,6,0.0251921
4280,1,1,0.825947
4280,1,2,0.697049
4280,1,3,0.591212
4280,1,4,0.503749
4280,1,5,0.427005
4280,1,6,0.362808
4280,2,1,0.700604
4280,2,2,0.521683
4280,2,3,0.401623
4280,2,4,0.312203
4280,2,5,0.241017
4280,2,6,0.187294
4280,3,1,0.597339
4280,3,2,0.397577
4280,3,3,0.285014
4280,3,4,0.207062
4280,3,5,0.148623
4280,3,6,0.112362
4280,4,1,0.509827
4280,4,2,0.304264
4280,4,3,0.203628
4280,4,4,0.133639
4280,4,5,0.0857225
4280,4,6,0.0619731
4280,5,1,0.43618
4280,5,2,0.235405
4280,5,3,0.152902
4280,5,4,0.0959479
4280,5,5,0.0590099
4280,5,6,0.0452023
4320,1,1,0.822437
4320,1,2,0.692279
4320,1,3,0.585517
4320,1,4,0.496487
4320,1,5,0.420938
4320,1,6,0.35802
4320,2,1,0.691969
4320,2,2,0.511657
4320,2,3,0.387226
4320,2,4,0.296928
4320,2,5,0.227181
4320,2,6,0.176446
4320,3,1,0.583908
4320,3,2,0.384988
4320,3,3,0.26631
4320,3,4,0.190636
4320,3,5,0.137524
4320,3,6,0.0998045
4320,4,1,0.494322
4320,4,2,0.290467
4320,4,3,0.187842
4320,4,4,0.127058
4320,4,5,0.0866196
4320,4,6,0.0604846
4320,5,1,0.415973
4320,5,2,0.214735
4320,5,3,0.129987
4320,5,4,0.0826302
4320,5,5,0.0575005
4320,5,6,0.0357889
4360,1,1,0.824282
4360,1,2,0.695372
4360,1,3,0.586566
4360,1,4,0.494193
4360,1,5,0.415811
4360,1,6,0.351411
4360,2,1,0.696962
4360,2,2,0.515218
4360,2,3,0.38848
4360,2,4,0.293793
4360,2,5,0.224773
4360,2,6,0.172213
4360,3,1,0.591286
4360,3,2,0.385553
4360,3,3,0.26083
4360,3,4,0.177832
4360,3,5,0.127239
4360,3,6,0.0842537
4360,4,1,0.503024
4360,4,2,0.296131
4360,4,3,0.187418
4360,4,4,0.117121
4360,4,5,0.0818858
4360,4,6,0.0533759
4360,5,1,0.429201
4360,5,2,0.224708
4360,5,3,0.130461
4360,5,4,0.0682772
4360,5,5,0.0530726
4360,5,6,0.0308412
4400,1,1,0.82249
4400,1,2,0.693269
4400,1,3,0.588289
4400,1,4,0.50111
4400,1,5,0.425313
4400,1,6,0.36185
4400,2,1,0.693992
4400,2,2,0.519063
4400,2,3,0.395666
4400,2,4,0.309567
4400,2,5,0.237755
4400,2,6,0.182985
4400,3,1,0.58846
4400,3,2,0.398679
4400,3,3,0.282275
4400,3,4,0.20327
4400,3,5,0.138609
4400,3,6,0.0993305
4400,4,1,0.499104
4400,4,2,0.301709
4400,4,3,0.197821
4400,4,4,0.136326
4400,4,5,0.086294
4400,4,6,0.0529038
4400,5,1,0.424201
4400,5,2,0.231571
4400,5,3,0.142915
4400,5,4,0.0904489
4400,5,5,0.0512967
4400,5,6,0.0244972
4440,1,1,0.825554
4440,1,2,0.698384
4440,1,3,0.595354
4440,1,4,0.509895
4440,1,5,0.435038
4440,1,6,0.370118
4440,2,1,0.699455
4440,2,2,0.52614
4440,2,3,0.407386
4440,2,4,0.31985
4440,2,5,0.252131
4440,2,6,0.201152
4440,3,1,0.596607
4440,3,2,0.402837
4440,3,3,0.286066
4440,3,4,0.208424
4440,3,5,0.148113
4440,3,6,0.109238
4440,4,1,0.506866
4440,4,2,0.306785
4440,4,3,0.196306
4440,4,4,0.128262
4440,4,5,0.0860533
4440,4,6,0.0527349
4440,5,1,0.430916
4440,5,2,0.238662
4440,5,3,0.141242
4440,5,4,0.0875946
4440,5,5,0.0561775
4440,5,6,0.0326429
4480,1,1,0.823753
4480,1,2,0.69429
4480,1,3,0.586679
4480,1,4,0.499874
4480,1,5,0.426249
4480,1,6,0.360701
4480,2,1,0.696545
4480,2,2,0.517371
4480,2,3,0.394731
4480,2,4,0.305748
4480,2,5,0.236538
4480,2,6,0.182898
4480,3,1,0.593509
4480,3,2,0.39408
4480,3,3,0.279667
4480,3,4,0.201103
4480,3,5,0.144268
4480,3,6,0.105047
4480,4,1,0.502925
4480,4,2,0.297572
4480,4,3,0.194852
4480,4,4,0.130666
4480,4,5,0.0847419
4480,4,6,0.0550805
4480,5,1,0.428913
4480,5,2,0.228922
4480,5,3,0.136793
4480,5,4,0.0849675
4480,5,5,0.04878
4480,5,6,0.0351666
4520,1,1,0.82636
4520,1,2,0.700322
4520,1,3,0.594425
4520,1,4,0.503089
4520,1,5,0.425923
4520,1,6,0.362487
4520,2,1,0.699111
4520,2,2,0.523486
4520,2,3,0.394137
4520,2,4,0.299249
4520,2,5,0.225447
4520,2,6,0.17397
4520,3,1,0.594745
4520,3,2,0.401719
4520,3,3,0.277853
4520,3,4,0.19441
4520,3,5,0.131014
4520,3,6,0.0902572
4520,4,1,0.505605
4520,4,2,0.311897
4520,4,3,0.195021
4520,4,4,0.125832
4520,4,5,0.0745247
4520,4,6,0.046267
4520,5,1,0.430333
4520,5,2,0.243825
4520,5,3,0.142887
4520,5,4,0.0824087
4520,5,5,0.0339762
4520,5,6,0.0119756
4560,1,1,0.822008
4560,1,2,0.69257
4560,1,3,0.587921
4560,1,4,0.500457
4560,1,5,0.4276
4560,1,6,0.367175
4560,2,1,0.693426
4560,2,2,0.514193
4560,2,3,0.388044
4560,2,4,0.297082
4560,2,5,0.225903
4560,2,6,0.1738
4560,3,1,0.590385
4560,3,2,0.393077
4560,3,3,0.266272
4560,3,4,0.183187
4560,3,5,0.121167
4560,3,6,0.0876716
4560,4,1,0.504343
4560,4,2,0.299645
4560,4,3,0.189225
4560,4,4,0.116406
4560,4,5,0.0698884
4560,4,6,0.0463434
4560,5,1,0.432898
4560,5,2,0.226814
4560,5,3,0.131504
4560,5,4,0.0764044
4560,5,5,0.0436668
4560,5,6,0.026792
4600,1,1,0.823915
4600,1,2,0.696701
4600,1,3,0.59224
4600,1,4,0.504095
4600,1,5,0.429914
4600,1,6,0.36812
4600,2,1,0.698729
4600,2,2,0.526489
4600,2,3,0.402663
4600,2,4,0.308245
4600,2,5,0.238916
4600,2,6,0.18849
4600,3,1,0.595893
4600,3,2,0.402836
4600,3,3,0.280436
4600,3,4,0.187936
4600,3,5,0.130576
4600,3,6,0.0899944
4600,4,1,0.508888
4600,4,2,0.307626
4600,4,3,0.197334
4600,4,4,0.113769
4600,4,5,0.0758616
4600,4,6,0.043734
4600,5,1,0.435683
4600,5,2,0.235842
4600,5,3,0.13833
4600,5,4,0.0677703
4600,5,5,0.0438736
4600,5,6,0.0218261
4640,1,1,0.822474
4640,1,2,0.692589
4640,1,3,0.585817
4640,1,4,0.493895
4640,1,5,0.419007
4640,1,6,0.357677
4640,2,1,0.695341
4640,2,2,0.515477
4640,2,3,0.391319
4640,2,4,0.297012
4640,2,5,0.228646
4640,2,6,0.176303
4640,3,1,0.588114
4640,3,2,0.387715
4640,3,3,0.268236
4640,3,4,0.184705
4640,3,5,0.127191
4640,3,6,0.0920832
4640,4,1,0.498735
4640,4,2,0.292026
4640,4,3,0.182869
4640,4,4,0.117152
4640,4,5,0.0778302
4640,4,6,0.0551807
4640,5,1,0.421445
4640,5,2,0.218574
4640,5,3,0.124956
4640,5,4,0.0719306
4640,5,5,0.0451151
4640,5,6,0.0302653
4680,1,1,0.826244
4680,1,2,0.699765
4680,1,3,0.593205
4680,1,4,0.504974
4680,1,5,0.429086
4680,1,6,0.364686
4680,2,1,0.698793
4680,2,2,0.523778
4680,2,3,0.398213
4680,2,4,0.305389
4680,2,5,0.230088
4680,2,6,0.172051
4680,3,1,0.594499
4680,3,2,0.40048
4680,3,3,0.282658
4680,3,4,0.202468
4680,3,5,0.13982
4680,3,6,0.103026
4680,4,1,0.503393
4680,4,2,0.30588
4680,4,3,0.202107
4680,4,4,0.14079
4680,4,5,0.0942371
4680,4,6,0.0666549
4680,5,1,0.42462
4680,5,2,0.230896
4680,5,3,0.140136
4680,5,4,0.0925144
4680,5,5,0.0575004
4680,5,6,0.042119
4720,1,1,0.826469
4720,1,2,0.700771
4720,1,3,0.597968
4720,1,4,0.510224
4720,1,5,0.435498
4720,1,6,0.372695
4720,2,1,0.70045
4720,2,2,0.527271
4720,2,3,0.406467
4720,2,4,0.312804
4720,2,5,0.23875
4720,2,6,0.187109
4720,3,1,0.594075
4720,3,2,0.400769
4720,3,3,0.285237
4720,3,4,0.202698
4720,3,5,0.150569
4720,3,6,0.111884
4720,4,1,0.505284
4720,4,2,0.305462
4720,4,3,0.201864
4720,4,4,0.13409
4720,4,5,0.090837
4720,4,6,0.0606853
4720,5,1,0.4296
4720,5,2,0.231502
4720,5,3,0.138402
4720,5,4,0.0827487
4720,5,5,0.0456695
4720,5,6,0.0272493
4760,1,1,0.826668
4760,1,2,0.700817
4760,1,3,0.595736
4760,1,4,0.507599
4760,1,5,0.433328
4760,1,6,0.368897
4760,2,1,0.69782
4760,2,2,0.525063
4760,2,3,0.399387
4760,2,4,0.303336
4760,2,5,0.231105
4760,2,6,0.175236
4760,3,1,0.593758
4760,3,2,0.402711
4760,3,3,0.277844
4760,3,4,0.19147
4760,3,5,0.13229
4760,3,6,0.0901741
4760,4,1,0.503706
4760,4,2,0.312251
4760,4,3,0.199197
4760,4,4,0.127322
4760,4,5,0.0790315
4760,4,6,0.0461785
4760,5,1,0.427134
4760,5,2,0.240639
4760,5,3,0.140631
4760,5,4,0.0859239
4760,5,5,0.0428625
4760,5,6,0.0211614
4800,1,1,0.824261
4800,1,2,0.69666
4800,1,3,0.591762
4800,1,4,0.502854
4800,1,5,0.424902
4800,1,6,0.357349
4800,2,1,0.696346
4800,2,2,0.519024
4800,2,3,0.39422
4800,2,4,0.300669
4800,2,5,0.224548
4800,2,6,0.167274
4800,3,1,0.59052
4800,3,2,0.394447
4800,3,3,0.268357
4800,3,4,0.185177
4800,3,5,0.128094
4800,3,6,0.0871048
4800,4,1,0.500751
4800,4,2,0.30261
4800,4,3,0.186873
4800,4,4,0.117479
4800,4,5,0.0745807
4800,4,6,0.0441219
4800,5,1,0.427831
4800,5,2,0.231003
4800,5,3,0.126621
4800,5,4,0.071281
4800,5,5,0.0496891
4800,5,6,0.0321791
4840,1,1,0.827607
4840,1,2,0.702462
4840,1,3,0.600398
4840,1,4,0.513657
4840,1,5,0.437727
4840,1,6,0.373905
4840,2,1,0.705835
4840,2,2,0.532443
4840,2,3,0.408589
4840,2,4,0.314251
4840,2,5,0.237986
4840,2,6,0.181324
4840,3,1,0.601596
4840,3,2,0.409165
4840,3,3,0.286442
4840,3,4,0.203378
4840,3,5,0.144786
4840,3,6,0.101234
4840,4,1,0.512903
4840,4,2,0.316971
4840,4,3,0.203009
4840,4,4,0.135621
4840,4,5,0.0903066
4840,4,6,0.057236
4840,5,1,0.434916
4840,5,2,0.244062
4840,5,3,0.14857
4840,5,4,0.0935848
4840,5,5,0.0622723
4840,5,6,0.0363359
4880,1,1,0.825632
4880,1,2,0.697015
4880,1,3,0.589357
4880,1,4,0.49949
4880,1,5,0.425107
4880,1,6,0.362525
4880,2,1,0.698345
4880,2,2,0.523203
4880,2,3,0.401385
4880,2,4,0.308268
4880,2,5,0.243348
4880,2,6,0.192566
4880,3,1,0.592748
4880,3,2,0.397476
