sweep,R,T,W
4040,1,1,0.850006
4040,1,2,0.726982
4040,1,3,0.618697
4040,1,4,0.52463
4040,1,5,0.444212
4040,1,6,0.380789
4040,2,1,0.76775
4040,2,2,0.599013
4040,2,3,0.46324
4040,2,4,0.357171
4040,2,5,0.272714
4040,2,6,0.214391
4040,3,1,0.707898
4040,3,2,0.513361
4040,3,3,0.370606
4040,3,4,0.267072
4040,3,5,0.192244
4040,3,6,0.140744
4040,4,1,0.657335
4040,4,2,0.4441
4040,4,3,0.302776
4040,4,4,0.212339
4040,4,5,0.151384
4040,4,6,0.107905
4040,5,1,0.610401
4040,5,2,0.385077
4040,5,3,0.246325
4040,5,4,0.166225
4040,5,5,0.113424
4040,5,6,0.0738935
4080,1,1,0.851139
4080,1,2,0.724397
4080,1,3,0.61742
4080,1,4,0.525078
4080,1,5,0.44825
4080,1,6,0.382698
4080,2,1,0.768284
4080,2,2,0.589668
4080,2,3,0.453074
4080,2,4,0.348446
4080,2,5,0.269344
4080,2,6,0.208844
4080,3,1,0.708806
4080,3,2,0.500938
4080,3,3,0.355304
4080,3,4,0.253091
4080,3,5,0.183889
4080,3,6,0.134524
4080,4,1,0.658462
4080,4,2,0.431117
4080,4,3,0.284449
4080,4,4,0.192317
4080,4,5,0.138515
4080,4,6,0.0975703
4080,5,1,0.613503
4080,5,2,0.370684
4080,5,3,0.227818
4080,5,4,0.144589
4080,5,5,0.106337
4080,5,6,0.0764338
4120,1,1,0.849535
4120,1,2,0.721746
4120,1,3,0.611894
4120,1,4,0.520583
4120,1,5,0.440296
4120,1,6,0.372006
4120,2,1,0.764875
4120,2,2,0.584188
4120,2,3,0.445639
4120,2,4,0.342447
4120,2,5,0.261529
4120,2,6,0.199175
4120,3,1,0.704808
4120,3,2,0.496786
4120,3,3,0.348236
4120,3,4,0.247958
4120,3,5,0.176162
4120,3,6,0.122455
4120,4,1,0.6579
4120,4,2,0.434664
4120,4,3,0.28586
4120,4,4,0.191507
4120,4,5,0.130988
4120,4,6,0.084954
4120,5,1,0.615478
4120,5,2,0.384222
4120,5,3,0.237738
4120,5,4,0.153622
4120,5,5,0.101884
4120,5,6,0.0591069
4160,1,1,0.851425
4160,1,2,0.723728
4160,1,3,0.614414
4160,1,4,0.52108
4160,1,5,0.442522
4160,1,6,0.374864
4160,2,1,0.766583
4160,2,2,0.586703
4160,2,3,0.452249
4160,2,4,0.346571
4160,2,5,0.265183
4160,2,6,0.202507
4160,3,1,0.703422
4160,3,2,0.492646
4160,3,3,0.347848
4160,3,4,0.246135
4160,3,5,0.173713
4160,3,6,0.126418
4160,4,1,0.653414
4160,4,2,0.423246
4160,4,3,0.276243
4160,4,4,0.17884
4160,4,5,0.115927
4160,4,6,0.0809664
4160,5,1,0.60933
4160,5,2,0.362747
4160,5,3,0.219217
4160,5,4,0.132789
4160,5,5,0.0815676
4160,5,6,0.0553799
4200,1,1,0.85021
4200,1,2,0.723063
4200,1,3,0.61221
4200,1,4,0.517962
4200,1,5,0.437777
4200,1,6,0.373343
4200,2,1,0.767088
4200,2,2,0.590072
4200,2,3,0.451109
4200,2,4,0.343898
4200,2,5,0.26248
4200,2,6,0.203414
4200,3,1,0.706201
4200,3,2,0.493029
4200,3,3,0.33978
4200,3,4,0.234864
4200,3,5,0.162381
4200,3,6,0.114499
4200,4,1,0.654997
4200,4,2,0.415595
4200,4,3,0.257748
4200,4,4,0.160253
4200,4,5,0.0986093
4200,4,6,0.0628611
4200,5,1,0.609877
4200,5,2,0.357156
4200,5,3,0.20496
4200,5,4,0.114688
4200,5,5,0.0636287
4200,5,6,0.0374276
4240,1,1,0.851819
4240,1,2,0.725958
4240,1,3,0.619935
4240,1,4,0.528358
4240,1,5,0.453382
4240,1,6,0.387747
4240,2,1,0.767427
4240,2,2,0.589658
4240,2,3,0.454202
4240,2,4,0.347887
4240,2,5,0.270484
4240,2,6,0.207955
4240,3,1,0.702638
4240,3,2,0.49281
4240,3,3,0.349182
4240,3,4,0.241632
4240,3,5,0.168413
4240,3,6,0.114926
4240,4,1,0.647978
4240,4,2,0.419176
4240,4,3,0.276623
4240,4,4,0.175546
4240,4,5,0.112182
4240,4,6,0.0732358
4240,5,1,0.597868
4240,5,2,0.355135
4240,5,3,0.215665
4240,5,4,0.11624
4240,5,5,0.062191
4240,5,6,0.0361276
4280,1,1,0.850612
4280,1,2,0.72358
4280,1,3,0.614504
4280,1,4,0.523514
4280,1,5,0.443572
4280,1,6,0.376616
4280,2,1,0.767833
4280,2,2,0.590687
4280,2,3,0.455424
4280,2,4,0.355039
4280,2,5,0.27783
4280,2,6,0.215408
4280,3,1,0.706574
4280,3,2,0.502416
4280,3,3,0.358164
4280,3,4,0.262592
4280,3,5,0.196788
4280,3,6,0.148306
4280,4,1,0.657008
4280,4,2,0.433006
4280,4,3,0.288834
4280,4,4,0.200393
4280,4,5,0.141183
4280,4,6,0.100145
4280,5,1,0.61169
4280,5,2,0.377807
4280,5,3,0.242478
4280,5,4,0.166042
4280,5,5,0.119462
4280,5,6,0.0893521
4320,1,1,0.847475
4320,1,2,0.717916
4320,1,3,0.608594
4320,1,4,0.51658
4320,1,5,0.438775
4320,1,6,0.37258
4320,2,1,0.760545
4320,2,2,0.579607
4320,2,3,0.441894
4320,2,4,0.337226
4320,2,5,0.257961
4320,2,6,0.195791
4320,3,1,0.697873
4320,3,2,0.493138
4320,3,3,0.347804
4320,3,4,0.243687
4320,3,5,0.173
4320,3,6,0.118033
4320,4,1,0.647666
4320,4,2,0.428866
4320,4,3,0.281539
4320,4,4,0.184049
4320,4,5,0.123493
4320,4,6,0.0764189
4320,5,1,0.598448
4320,5,2,0.372792
4320,5,3,0.22803
4320,5,4,0.143301
4320,5,5,0.0908206
4320,5,6,0.0495253
4360,1,1,0.848771
4360,1,2,0.71967
4360,1,3,0.60864
4360,1,4,0.51283
4360,1,5,0.431394
4360,1,6,0.365582
4360,2,1,0.762714
4360,2,2,0.576969
4360,2,3,0.437056
4360,2,4,0.332745
4360,2,5,0.254971
4360,2,6,0.19877
4360,3,1,0.69637
4360,3,2,0.479272
4360,3,3,0.330389
4360,3,4,0.229671
4360,3,5,0.160819
4360,3,6,0.113283
4360,4,1,0.642764
4360,4,2,0.410053
4360,4,3,0.265632
4360,4,4,0.172346
4360,4,5,0.116039
4360,4,6,0.0759534
4360,5,1,0.596933
4360,5,2,0.354706
4360,5,3,0.214006
4360,5,4,0.127036
4360,5,5,0.080139
4360,5,6,0.0516416
4400,1,1,0.84839
4400,1,2,0.720367
4400,1,3,0.613107
4400,1,4,0.523581
4400,1,5,0.444487
4400,1,6,0.378747
4400,2,1,0.763769
4400,2,2,0.584409
4400,2,3,0.449487
4400,2,4,0.350284
4400,2,5,0.268406
4400,2,6,0.207271
4400,3,1,0.699474
4400,3,2,0.494152
4400,3,3,0.351316
4400,3,4,0.251999
4400,3,5,0.174914
4400,3,6,0.126971
4400,4,1,0.645566
4400,4,2,0.416787
4400,4,3,0.272135
4400,4,4,0.183333
4400,4,5,0.120911
4400,4,6,0.0821538
4400,5,1,0.602028
4400,5,2,0.360441
4400,5,3,0.219546
4400,5,4,0.136235
4400,5,5,0.0817904
4400,5,6,0.054437
4440,1,1,0.851055
4440,1,2,0.725199
4440,1,3,0.618445
4440,1,4,0.531014
4440,1,5,0.45327
4440,1,6,0.385627
4440,2,1,0.768907
4440,2,2,0.59473
4440,2,3,0.464775
4440,2,4,0.367565
4440,2,5,0.288324
4440,2,6,0.224767
4440,3,1,0.708009
4440,3,2,0.504635
4440,3,3,0.365075
4440,3,4,0.267213
4440,3,5,0.191609
4440,3,6,0.138828
4440,4,1,0.656185
4440,4,2,0.430651
4440,4,3,0.286571
4440,4,4,0.192617
4440,4,5,0.125874
4440,4,6,0.0825598
4440,5,1,0.610106
4440,5,2,0.377214
4440,5,3,0.235419
4440,5,4,0.151501
4440,5,5,0.0918729
4440,5,6,0.0581675
4480,1,1,0.849692
4480,1,2,0.722761
4480,1,3,0.612906
4480,1,4,0.522094
4480,1,5,0.444917
4480,1,6,0.376471
4480,2,1,0.766143
4480,2,2,0.588535
4480,2,3,0.451064
4480,2,4,0.350575
4480,2,5,0.27133
4480,2,6,0.210765
4480,3,1,0.703728
4480,3,2,0.497899
4480,3,3,0.354933
4480,3,4,0.257614
4480,3,5,0.187416
4480,3,6,0.136385
4480,4,1,0.65034
4480,4,2,0.424929
4480,4,3,0.280536
4480,4,4,0.191426
4480,4,5,0.131547
4480,4,6,0.0885695
4480,5,1,0.604999
4480,5,2,0.368532
4480,5,3,0.222072
4480,5,4,0.143592
4480,5,5,0.091542
4480,5,6,0.0597728
4520,1,1,0.850999
4520,1,2,0.724878
4520,1,3,0.616625
4520,1,4,0.521769
4520,1,5,0.442504
4520,1,6,0.377938
4520,2,1,0.767672
4520,2,2,0.588964
4520,2,3,0.450194
4520,2,4,0.338407
4520,2,5,0.255002
4520,2,6,0.195497
4520,3,1,0.709921
4520,3,2,0.503727
4520,3,3,0.360389
4520,3,4,0.250885
4520,3,5,0.170415
4520,3,6,0.118806
4520,4,1,0.661232
4520,4,2,0.437521
4520,4,3,0.290508
4520,4,4,0.190758
4520,4,5,0.122027
4520,4,6,0.0811189
4520,5,1,0.618906
4520,5,2,0.385094
4520,5,3,0.238322
4520,5,4,0.145034
4520,5,5,0.0796912
4520,5,6,0.043851
4560,1,1,0.847824
4560,1,2,0.719784
4560,1,3,0.612117
4560,1,4,0.520622
4560,1,5,0.445239
4560,1,6,0.382759
4560,2,1,0.764205
4560,2,2,0.582269
4560,2,3,0.444353
4560,2,4,0.340812
4560,2,5,0.260227
4560,2,6,0.200514
4560,3,1,0.706821
4560,3,2,0.49625
4560,3,3,0.345325
4560,3,4,0.241308
4560,3,5,0.1666
4560,3,6,0.116896
4560,4,1,0.660705
4560,4,2,0.430325
4560,4,3,0.272738
4560,4,4,0.170938
4560,4,5,0.105687
4560,4,6,0.0660998
4560,5,1,0.620289
4560,5,2,0.376234
4560,5,3,0.222915
4560,5,4,0.127525
4560,5,5,0.068981
4560,5,6,0.037724
4600,1,1,0.849153
4600,1,2,0.721177
4600,1,3,0.613895
4600,1,4,0.523419
4600,1,5,0.446541
4600,1,6,0.382394
4600,2,1,0.767084
4600,2,2,0.588839
4600,2,3,0.452741
4600,2,4,0.350425
4600,2,5,0.273044
4600,2,6,0.214348
4600,3,1,0.705782
4600,3,2,0.494459
4600,3,3,0.346206
4600,3,4,0.243292
4600,3,5,0.173467
4600,3,6,0.120748
4600,4,1,0.656592
4600,4,2,0.423864
4600,4,3,0.274201
4600,4,4,0.176808
4600,4,5,0.11626
4600,4,6,0.0749198
4600,5,1,0.612646
4600,5,2,0.363062
4600,5,3,0.218439
4600,5,4,0.129954
4600,5,5,0.0834926
4600,5,6,0.0526641
4640,1,1,0.847993
4640,1,2,0.719355
4640,1,3,0.608234
4640,1,4,0.513433
4640,1,5,0.43462
4640,1,6,0.371655
4640,2,1,0.763316
4640,2,2,0.58352
4640,2,3,0.44647
4640,2,4,0.342398
4640,2,5,0.262773
4640,2,6,0.202952
4640,3,1,0.699002
4640,3,2,0.489023
4640,3,3,0.342543
4640,3,4,0.241029
4640,3,5,0.170193
4640,3,6,0.121154
4640,4,1,0.646919
4640,4,2,0.416037
4640,4,3,0.269898
4640,4,4,0.181328
4640,4,5,0.121494
4640,4,6,0.0824411
4640,5,1,0.599443
4640,5,2,0.353103
4640,5,3,0.21297
4640,5,4,0.133538
4640,5,5,0.0845016
4640,5,6,0.05194
4680,1,1,0.850673
4680,1,2,0.724642
4680,1,3,0.616441
4680,1,4,0.525445
4680,1,5,0.447738
4680,1,6,0.380703
4680,2,1,0.766095
4680,2,2,0.589529
4680,2,3,0.452258
4680,2,4,0.348312
4680,2,5,0.262915
4680,2,6,0.197738
4680,3,1,0.70722
4680,3,2,0.504523
4680,3,3,0.361918
4680,3,4,0.262523
4680,3,5,0.186247
4680,3,6,0.132625
4680,4,1,0.657589
4680,4,2,0.439605
4680,4,3,0.297798
4680,4,4,0.205531
4680,4,5,0.138848
4680,4,6,0.0936236
4680,5,1,0.615658
4680,5,2,0.387469
4680,5,3,0.243996
4680,5,4,0.157745
4680,5,5,0.104205
4680,5,6,0.0659617
4720,1,1,0.85118
4720,1,2,0.726397
4720,1,3,0.620205
4720,1,4,0.528199
4720,1,5,0.450934
4720,1,6,0.385354
4720,2,1,0.768877
4720,2,2,0.59288
4720,2,3,0.458941
4720,2,4,0.35114
4720,2,5,0.267702
4720,2,6,0.20824
4720,3,1,0.708277
4720,3,2,0.503069
4720,3,3,0.359434
4720,3,4,0.249831
4720,3,5,0.179235
4720,3,6,0.128869
4720,4,1,0.658216
4720,4,2,0.433305
4720,4,3,0.288616
4720,4,4,0.188234
4720,4,5,0.125678
4720,4,6,0.0821018
4720,5,1,0.614844
4720,5,2,0.3757
4720,5,3,0.229636
4720,5,4,0.134124
4720,5,5,0.0822001
4720,5,6,0.0510371
4760,1,1,0.851997
4760,1,2,0.72691
4760,1,3,0.618955
4760,1,4,0.528067
4760,1,5,0.451508
4760,1,6,0.384601
4760,2,1,0.766144
4760,2,2,0.590311
4760,2,3,0.454299
4760,2,4,0.347632
4760,2,5,0.26595
4760,2,6,0.202494
4760,3,1,0.704776
4760,3,2,0.501362
4760,3,3,0.354757
4760,3,4,0.248183
4760,3,5,0.178447
4760,3,6,0.125378
4760,4,1,0.652333
4760,4,2,0.43284
4760,4,3,0.285171
4760,4,4,0.182705
4760,4,5,0.120443
4760,4,6,0.078825
4760,5,1,0.607251
4760,5,2,0.375853
4760,5,3,0.231586
4760,5,4,0.13874
4760,5,5,0.0775933
4760,5,6,0.043614
4800,1,1,0.849434
4800,1,2,0.722288
4800,1,3,0.614718
4800,1,4,0.522291
4800,1,5,0.441542
4800,1,6,0.372341
4800,2,1,0.765818
4800,2,2,0.585928
4800,2,3,0.450804
4800,2,4,0.344342
4800,2,5,0.259063
4800,2,6,0.193664
4800,3,1,0.706912
4800,3,2,0.501199
4800,3,3,0.356114
4800,3,4,0.251196
4800,3,5,0.176412
4800,3,6,0.123007
4800,4,1,0.659594
4800,4,2,0.44086
4800,4,3,0.292974
4800,4,4,0.189621
4800,4,5,0.122957
4800,4,6,0.0813827
4800,5,1,0.616065
4800,5,2,0.382617
4800,5,3,0.233955
4800,5,4,0.143249
4800,5,5,0.0912756
4800,5,6,0.062745
4840,1,1,0.85319
4840,1,2,0.730019
4840,1,3,0.624578
4840,1,4,0.534494
4840,1,5,0.45743
4840,1,6,0.391948
4840,2,1,0.776245
4840,2,2,0.601693
4840,2,3,0.464258
4840,2,4,0.357747
4840,2,5,0.273896
4840,2,6,0.206685
4840,3,1,0.719007
4840,3,2,0.517579
4840,3,3,0.36856
4840,3,4,0.260073
4840,3,5,0.184808
4840,3,6,0.12736
4840,4,1,0.672143
4840,4,2,0.45302
4840,4,3,0.298756
4840,4,4,0.196176
4840,4,5,0.127885
4840,4,6,0.07962
4840,5,1,0.630201
4840,5,2,0.398406
4840,5,3,0.247104
4840,5,4,0.148633
4840,5,5,0.0864382
4840,5,6,0.047157
4880,1,1,0.851345
4880,1,2,0.723273
4880,1,3,0.612868
4880,1,4,0.519391
4880,1,5,0.44237
4880,1,6,0.377322
4880,2,1,0.770233
4880,2,2,0.588415
4880,2,3,0.451681
4880,2,4,0.34763
4880,2,5,0.274249
4880,2,6,0.218821
4880,3,1,0.710308
4880,3,2,0.497207
4880,3,3,0.347167
4880,3,4,0.24616
4880,3,5,0.181026
4880,3,6,0.13751
4880,4,1,0.659734
4880,4,2,0.426746
4880,4,3,0.274276
4880,4,4,0.183375
4880,4,5,0.123485
4880,4,6,0.086553
4880,5,1,0.616973
4880,5,2,0.370878
4880,5,3,0.222202
4880,5,4,0.139445
4880,5,5,0.0896429
4880,5,6,0.0559521
4920,1,1,0.851107
4920,1,2,0.722991
4920,1,3,0.61601
4920,1,4,0.526138
4920,1,5,0.450022
4920,1,6,0.386226
4920,2,1,0.769409
4920,2,2,0.586999
4920,2,3,0.449943
4920,2,4,0.344971
4920,2,5,0.26536
4920,2,6,0.204485
4920,3,1,0.71153
4920,3,2,0.499361
4920,3,3,0.351098
4920,3,4,0.244466
4920,3,5,0.171056
4920,3,6,0.124143
4920,4,1,0.664606
4920,4,2,0.436616
4920,4,3,0.288049
4920,4,4,0.185846
4920,4,5,0.121172
4920,4,6,0.0815572
4920,5,1,0.62131
4920,5,2,0.382826
4920,5,3,0.23956
4920,5,4,0.141349
4920,5,5,0.0819196
4920,5,6,0.0468821
4960,1,1,0.850409
4960,1,2,0.72242
4960,1,3,0.613466
4960,1,4,0.522239
4960,1,5,0.445647
4960,1,6,0.382124
4960,2,1,0.764474
4960,2,2,0.580791
4960,2,3,0.440711
4960,2,4,0.33455
4960,2,5,0.251554
4960,2,6,0.191825
4960,3,1,0.701529
4960,3,2,0.490582
4960,3,3,0.342189
4960,3,4,0.240429
4960,3,5,0.168393
4960,3,6,0.118687
4960,4,1,0.650029
4960,4,2,0.422182
4960,4,3,0.273843
4960,4,4,0.176042
4960,4,5,0.110906
4960,4,6,0.0706301
4960,5,1,0.604525
4960,5,2,0.364502
4960,5,3,0.218383
4960,5,4,0.127203
4960,5,5,0.0697437
4960,5,6,0.0380381
5000,1,1,0.849218
5000,1,2,0.721666
5000,1,3,0.614362
5000,1,4,0.524555
5000,1,5,0.446784
5000,1,6,0.378991
5000,2,1,0.763737
5000,2,2,0.580978
5000,2,3,0.44328
5000,2,4,0.341479
5000,2,5,0.262377
5000,2,6,0.202915
5000,3,1,0.699851
5000,3,2,0.484191
5000,3,3,0.333615
5000,3,4,0.229541
5000,3,5,0.153663
5000,3,6,0.102563
5000,4,1,0.649273
5000,4,2,0.41603
5000,4,3,0.264615
5000,4,4,0.166456
5000,4,5,0.103562
5000,4,6,0.0587858
5000,5,1,0.603706
5000,5,2,0.359852
5000,5,3,0.208933
5000,5,4,0.119168
5000,5,5,0.063856
5000,5,6,0.0294022
5040,1,1,0.850229
5040,1,2,0.725344
5040,1,3,0.618883
5040,1,4,0.526803
5040,1,5,0.449216
5040,1,6,0.383377
5040,2,1,0.763223
5040,2,2,0.582355
5040,2,3,0.444401
5040,2,4,0.336802
5040,2,5,0.25761
5040,2,6,0.199233
5040,3,1,0.702706
5040,3,2,0.492978
5040,3,3,0.347591
5040,3,4,0.24292
5040,3,5,0.170724
5040,3,6,0.122399
5040,4,1,0.651987
5040,4,2,0.422997
5040,4,3,0.275433
5040,4,4,0.180023
5040,4,5,0.116709
5040,4,6,0.0762726
5040,5,1,0.606697
5040,5,2,0.363414
5040,5,3,0.219683
5040,5,4,0.133511
5040,5,5,0.0804108
5040,5,6,0.0470535
5080,1,1,0.851651
5080,1,2,0.724276
5080,1,3,0.614532
5080,1,4,0.522789
5080,1,5,0.444035
5080,1,6,0.37659
5080,2,1,0.769117
5080,2,2,0.586674
5080,2,3,0.442434
5080,2,4,0.336909
5080,2,5,0.250747
5080,2,6,0.188163
5080,3,1,0.709981
5080,3,2,0.495366
5080,3,3,0.338163
5080,3,4,0.232487
5080,3,5,0.151185
5080,3,6,0.0952504
