sweep,R,T,W
510,1,1,0.776716
510,1,2,0.654922
510,1,3,0.541008
510,2,1,0.631497
510,2,2,0.465926
510,2,3,0.343865
520,1,1,0.817637
520,1,2,0.691892
520,1,3,0.621476
520,2,1,0.704262
520,2,2,0.542857
520,2,3,0.446847
530,1,1,0.808769
530,1,2,0.670164
530,1,3,0.580723
530,2,1,0.679801
530,2,2,0.49783
530,2,3,0.441393
540,1,1,0.773608
540,1,2,0.619888
540,1,3,0.511959
540,2,1,0.609539
540,2,2,0.423614
540,2,3,0.306619
550,1,1,0.764479
550,1,2,0.606279
550,1,3,0.51016
550,2,1,0.627879
550,2,2,0.406923
550,2,3,0.357635
560,1,1,0.774559
560,1,2,0.64911
560,1,3,0.570564
560,2,1,0.63088
560,2,2,0.46697
560,2,3,0.380563
570,1,1,0.799539
570,1,2,0.644865
570,1,3,0.560605
570,2,1,0.60245
570,2,2,0.393784
570,2,3,0.385363
580,1,1,0.76819
580,1,2,0.634221
580,1,3,0.562116
580,2,1,0.582483
580,2,2,0.444635
580,2,3,0.373893
590,1,1,0.785292
590,1,2,0.633611
590,1,3,0.556882
590,2,1,0.625621
590,2,2,0.400874
590,2,3,0.365487
600,1,1,0.764793
600,1,2,0.589939
600,1,3,0.487321
600,2,1,0.575843
600,2,2,0.318762
600,2,3,0.280374
610,1,1,0.746537
610,1,2,0.552417
610,1,3,0.385989
610,2,1,0.577541
610,2,2,0.371055
610,2,3,0.242056
620,1,1,0.783637
620,1,2,0.61288
620,1,3,0.491514
620,2,1,0.600659
620,2,2,0.375673
620,2,3,0.28118
630,1,1,0.79085
630,1,2,0.620676
630,1,3,0.503636
630,2,1,0.663567
630,2,2,0.472778
630,2,3,0.374548
640,1,1,0.76979
640,1,2,0.617179
640,1,3,0.487467
640,2,1,0.624781
640,2,2,0.453034
640,2,3,0.327834
650,1,1,0.78776
650,1,2,0.635454
650,1,3,0.553894
650,2,1,0.640072
650,2,2,0.427399
650,2,3,0.366384
660,1,1,0.812195
660,1,2,0.688712
660,1,3,0.580398
660,2,1,0.674186
660,2,2,0.499552
660,2,3,0.395105
670,1,1,0.804661
670,1,2,0.684656
670,1,3,0.615136
670,2,1,0.668472
670,2,2,0.496979
670,2,3,0.464601
680,1,1,0.742026
680,1,2,0.567387
680,1,3,0.430168
680,2,1,0.637801
680,2,2,0.447799
680,2,3,0.342812
690,1,1,0.790863
690,1,2,0.654989
690,1,3,0.519077
690,2,1,0.636501
690,2,2,0.489037
690,2,3,0.328612
700,1,1,0.811994
700,1,2,0.630526
700,1,3,0.49188
700,2,1,0.670986
700,2,2,0.417626
700,2,3,0.288047
710,1,1,0.775254
710,1,2,0.607931
710,1,3,0.457654
710,2,1,0.621541
710,2,2,0.426837
710,2,3,0.315233
720,1,1,0.813419
720,1,2,0.70163
720,1,3,0.606601
720,2,1,0.678978
720,2,2,0.518784
720,2,3,0.389994
730,1,1,0.786838
730,1,2,0.627794
730,1,3,0.497115
730,2,1,0.63567
730,2,2,0.426418
730,2,3,0.300224
740,1,1,0.795069
740,1,2,0.65559
740,1,3,0.53247
740,2,1,0.617282
740,2,2,0.424568
740,2,3,0.332831
750,1,1,0.774337
750,1,2,0.597632
750,1,3,0.458809
750,2,1,0.579779
750,2,2,0.3409
750,2,3,0.242432
760,1,1,0.772916
760,1,2,0.575138
760,1,3,0.431917
760,2,1,0.628922
760,2,2,0.327059
760,2,3,0.119294
770,1,1,0.768093
770,1,2,0.616553
770,1,3,0.504085
770,2,1,0.589135
770,2,2,0.399157
770,2,3,0.273128
780,1,1,0.76619
780,1,2,0.625619
780,1,3,0.53035
780,2,1,0.60887
780,2,2,0.408339
780,2,3,0.288809
790,1,1,0.812347
790,1,2,0.679339
790,1,3,0.582902
790,2,1,0.685064
790,2,2,0.540445
790,2,3,0.476927
800,1,1,0.797044
800,1,2,0.647785
800,1,3,0.550334
800,2,1,0.631385
800,2,2,0.446235
800,2,3,0.355609
810,1,1,0.809656
810,1,2,0.677954
810,1,3,0.572671
810,2,1,0.70152
810,2,2,0.549417
810,2,3,0.405539
820,1,1,0.784805
820,1,2,0.657138
820,1,3,0.488187
820,2,1,0.62292
820,2,2,0.53221
820,2,3,0.398826
830,1,1,0.782622
830,1,2,0.651248
830,1,3,0.573626
830,2,1,0.674343
830,2,2,0.505102
830,2,3,0.417112
