sweep,acceptance,plaquette
1,0.459877,0.947819
2,0.484568,0.908116
3,0.526235,0.881849
4,0.552469,0.864646
5,0.550926,0.850107
6,0.530864,0.843194
7,0.537037,0.833144
8,0.580247,0.821369
9,0.533951,0.815591
10,0.549383,0.819195
11,0.535494,0.818628
12,0.572531,0.81461
13,0.552469,0.806226
14,0.552469,0.80936
15,0.550926,0.813322
16,0.569444,0.802434
17,0.544753,0.807832
18,0.564815,0.803837
19,0.555556,0.801929
20,0.563272,0.800973
21,0.572531,0.803003
22,0.53858,0.79976
23,0.537037,0.804587
24,0.560185,0.798803
25,0.527778,0.788473
26,0.552469,0.782072
27,0.550926,0.781597
28,0.532407,0.771389
29,0.510802,0.770267
30,0.487654,0.775533
31,0.558642,0.778958
32,0.537037,0.785471
33,0.561728,0.78898
34,0.540123,0.787092
35,0.53858,0.774169
36,0.540123,0.78161
37,0.524691,0.783573
38,0.527778,0.779072
39,0.541667,0.788137
40,0.564815,0.785216
41,0.561728,0.788348
42,0.566358,0.792414
43,0.535494,0.788
44,0.555556,0.793366
45,0.549383,0.783238
46,0.54784,0.787269
47,0.578704,0.798096
48,0.550926,0.792322
49,0.541667,0.79957
50,0.537037,0.792821
51,0.552469,0.795635
52,0.554012,0.792955
53,0.575617,0.783104
54,0.58179,0.790235
55,0.58179,0.792017
56,0.566358,0.786894
57,0.54784,0.796374
58,0.566358,0.800398
59,0.549383,0.797787
60,0.563272,0.795946
61,0.53858,0.784183
62,0.580247,0.782635
63,0.549383,0.787671
64,0.563272,0.790242
65,0.563272,0.800847
66,0.541667,0.802852
67,0.54321,0.803644
68,0.546296,0.796421
69,0.532407,0.787055
70,0.594136,0.778846
71,0.529321,0.780431
72,0.592593,0.791044
73,0.54784,0.786859
74,0.583333,0.794989
75,0.563272,0.798323
76,0.540123,0.797767
77,0.555556,0.791786
78,0.592593,0.789274
79,0.541667,0.783011
80,0.54784,0.785599
81,0.527778,0.792961
82,0.564815,0.782827
83,0.557099,0.788252
