beta,variant,status,sigma,err_sigma,alpha,err_alpha,chi2_dof
4.5,default,ok,0.14058405145155714,0.0041397820644335755,0.056340001457747126,0.011981299972660755,1.3840907897463879
4.5,shift_Tmin_plus1,not_valid,,,,,
4.5,shift_Tmin_minus1,ok,0.13685112158548948,0.002866822228035706,0.06867359516509883,0.008129581790736053,1.5370386501346232
5.0,default,ok,0.10208217822393262,0.0018800973208451203,0.0766898757624668,0.004791877311318658,3.626998192620152
5.0,shift_Tmin_plus1,not_valid,,,,,
5.0,shift_Tmin_minus1,ok,0.1034020491576139,0.0014142685572414138,0.07414966989903651,0.0035615621382008382,3.6641322317800857
5.5,default,ok,0.0843678904563679,0.0011254272560020685,0.07082559464679498,0.003103018864709534,1.8677092627370941
5.5,shift_Tmin_plus1,not_valid,,,,,
5.5,shift_Tmin_minus1,ok,0.08469920707795324,0.000895086131653739,0.07020371869581582,0.0024795543754597177,1.8834701781823473
