case,label,V0,err_V0,sigma,err_sigma,alpha,err_alpha,chi2,dof,chi2_dof
scaling_L14_beta_5p5,"L=14, beta=5.5",0.16662251564866892,0.004174417206615262,0.0843678905512597,0.0011254272647339646,0.07082559435533398,0.003103019004705929,1.8677092627368215,1,1.8677092627368215
volumecheck_L16_beta_5p5,"L=16, beta=5.5",0.16627969653918484,0.003944436737834178,0.08447477288851779,0.0011097145414393748,0.07048687881290405,0.0028890628497505928,1.388905611153303,1,1.388905611153303
