case,label,V0,err_V0,sigma,err_sigma,alpha,err_alpha,chi2,dof,chi2_dof
scaling_L12_beta_5p0,"L=12, beta=5.0",0.17942481647894937,0.006585841359318494,0.10208217794300012,0.001880097458603782,0.07668987650879444,0.004791877712979893,3.626998192620093,1,3.626998192620093
volumecheck_L14_beta_5p0,"L=14, beta=5.0",0.1769256258238272,0.005292493830796656,0.10353950814483781,0.001454186988002909,0.07530894346325567,0.003908781274371166,0.572629499823714,1,0.572629499823714
volumecheck_L16_beta_5p0,"L=16, beta=5.0",0.17123648505831568,0.005057607861657792,0.1048073625980912,0.0014928095085230092,0.07102546661874243,0.003624790084105021,0.8977525562129398,1,0.8977525562129398
