sweep,acceptance,plaquette
1,0.4375,0.947596
2,0.416667,0.922924
3,0.505208,0.896687
4,0.546875,0.876784
5,0.479167,0.861787
6,0.541667,0.867277
7,0.552083,0.850327
8,0.588542,0.845873
9,0.536458,0.850672
10,0.536458,0.848758
11,0.583333,0.832217
12,0.5625,0.829547
13,0.567708,0.813811
14,0.572917,0.797122
15,0.572917,0.795137
16,0.536458,0.806406
17,0.572917,0.803532
18,0.572917,0.800682
19,0.588542,0.811003
20,0.520833,0.810302
21,0.583333,0.808906
22,0.515625,0.803237
23,0.53125,0.790158
24,0.572917,0.790016
25,0.526042,0.772252
26,0.572917,0.772105
27,0.515625,0.79482
28,0.552083,0.788989
29,0.546875,0.775985
30,0.614583,0.791495
31,0.567708,0.773742
32,0.572917,0.777031
33,0.552083,0.783609
34,0.552083,0.789441
35,0.546875,0.817536
36,0.526042,0.815441
37,0.572917,0.8208
38,0.520833,0.824621
39,0.515625,0.826914
40,0.588542,0.807622
41,0.578125,0.799512
42,0.598958,0.800733
43,0.640625,0.802589
44,0.5625,0.805348
45,0.604167,0.799744
46,0.515625,0.801136
47,0.515625,0.795749
48,0.526042,0.785854
49,0.572917,0.792197
50,0.526042,0.793985
51,0.552083,0.804468
52,0.552083,0.790311
53,0.5625,0.783427
54,0.520833,0.789398
55,0.536458,0.786853
56,0.557292,0.786228
57,0.619792,0.785246
58,0.489583,0.788959
59,0.546875,0.790705
60,0.489583,0.777356
61,0.557292,0.778483
62,0.59375,0.77801
63,0.5,0.78789
64,0.578125,0.779175
65,0.546875,0.781404
66,0.604167,0.793156
67,0.5,0.792228
68,0.536458,0.789649
69,0.526042,0.776155
70,0.614583,0.782532
71,0.572917,0.784525
72,0.578125,0.783296
73,0.588542,0.777807
74,0.5625,0.774733
75,0.572917,0.778967
76,0.526042,0.774659
77,0.552083,0.775948
78,0.598958,0.783729
79,0.552083,0.791984
80,0.59375,0.789304
81,0.5,0.769722
82,0.515625,0.757938
83,0.625,0.758086
84,0.640625,0.772261
85,0.604167,0.787326
86,0.588542,0.78137
87,0.557292,0.7779
88,0.583333,0.778618
89,0.572917,0.778385
90,0.572917,0.777083
91,0.557292,0.771352
92,0.53125,0.778071
93,0.614583,0.776625
94,0.588542,0.777769
95,0.625,0.773992
96,0.604167,0.767421
97,0.598958,0.775666
98,0.479167,0.777089
99,0.567708,0.760633
100,0.515625,0.746291
101,0.578125,0.739111
102,0.5625,0.739277
103,0.583333,0.761442
104,0.541667,0.765473
105,0.53125,0.754212
106,0.552083,0.764912
107,0.598958,0.760563
108,0.505208,0.764855
109,0.505208,0.766179
110,0.546875,0.7731
111,0.572917,0.769939
112,0.567708,0.774511
113,0.5625,0.788774
114,0.552083,0.77746
115,0.598958,0.765562
116,0.552083,0.752353
117,0.572917,0.760869
118,0.53125,0.764324
119,0.583333,0.759292
120,0.546875,0.757894
121,0.567708,0.763141
122,0.552083,0.765314
123,0.552083,0.763409
124,0.588542,0.781712
125,0.536458,0.770335
126,0.578125,0.76807
127,0.572917,0.767188
128,0.536458,0.77035
129,0.5625,0.773681
130,0.5,0.771233
131,0.557292,0.781528
132,0.557292,0.782358
133,0.578125,0.786854
134,0.661458,0.787647
135,0.614583,0.801963
136,0.546875,0.803263
137,0.583333,0.794406
138,0.59375,0.79995
139,0.526042,0.786084
140,0.567708,0.796435
141,0.572917,0.782773
142,0.567708,0.777197
143,0.557292,0.794952
144,0.604167,0.778838
145,0.583333,0.763929
146,0.5625,0.779512
147,0.583333,0.773824
