sweep,R,T,W
510,1,1,0.791998
510,1,2,0.669226
510,1,3,0.568692
510,2,1,0.6297
510,2,2,0.49004
510,2,3,0.373523
520,1,1,0.784939
520,1,2,0.645321
520,1,3,0.508808
520,2,1,0.62478
520,2,2,0.417224
520,2,3,0.288579
530,1,1,0.823504
530,1,2,0.681639
530,1,3,0.558456
530,2,1,0.690306
530,2,2,0.490906
530,2,3,0.353414
540,1,1,0.79392
540,1,2,0.635871
540,1,3,0.520124
540,2,1,0.656294
540,2,2,0.425944
540,2,3,0.280409
550,1,1,0.790977
550,1,2,0.650576
550,1,3,0.536293
550,2,1,0.664226
550,2,2,0.50419
550,2,3,0.415752
560,1,1,0.800436
560,1,2,0.64282
560,1,3,0.514269
560,2,1,0.662822
560,2,2,0.474435
560,2,3,0.37391
570,1,1,0.79392
570,1,2,0.665861
570,1,3,0.561584
570,2,1,0.671481
570,2,2,0.512386
570,2,3,0.392358
580,1,1,0.79759
580,1,2,0.683241
580,1,3,0.605909
580,2,1,0.651558
580,2,2,0.5096
580,2,3,0.435017
590,1,1,0.792156
590,1,2,0.670436
590,1,3,0.57031
590,2,1,0.640768
590,2,2,0.46262
590,2,3,0.323999
600,1,1,0.783256
600,1,2,0.590131
600,1,3,0.43723
600,2,1,0.6412
600,2,2,0.424399
600,2,3,0.286513
610,1,1,0.753817
610,1,2,0.607899
610,1,3,0.469796
610,2,1,0.6232
610,2,2,0.422745
610,2,3,0.274319
620,1,1,0.805235
620,1,2,0.698882
620,1,3,0.600022
620,2,1,0.656062
620,2,2,0.485697
620,2,3,0.372633
630,1,1,0.812355
630,1,2,0.706433
630,1,3,0.639024
630,2,1,0.673591
630,2,2,0.53292
630,2,3,0.488421
640,1,1,0.805178
640,1,2,0.711229
640,1,3,0.621482
640,2,1,0.655807
640,2,2,0.521436
640,2,3,0.433383
650,1,1,0.789011
650,1,2,0.625226
650,1,3,0.495384
650,2,1,0.66055
650,2,2,0.470382
650,2,3,0.336995
660,1,1,0.769911
660,1,2,0.628989
660,1,3,0.541672
660,2,1,0.622556
660,2,2,0.414212
660,2,3,0.343144
670,1,1,0.781147
670,1,2,0.618413
670,1,3,0.486887
670,2,1,0.626168
670,2,2,0.411108
670,2,3,0.276759
680,1,1,0.783802
680,1,2,0.632803
680,1,3,0.497659
680,2,1,0.646966
680,2,2,0.476503
680,2,3,0.352425
690,1,1,0.773192
690,1,2,0.592286
690,1,3,0.48418
690,2,1,0.598074
690,2,2,0.361841
690,2,3,0.298708
700,1,1,0.809104
700,1,2,0.670713
700,1,3,0.556033
700,2,1,0.692691
700,2,2,0.517555
700,2,3,0.395344
710,1,1,0.835
710,1,2,0.719103
710,1,3,0.582243
710,2,1,0.716034
710,2,2,0.524605
710,2,3,0.347769
720,1,1,0.775317
