sweep,acceptance,plaquette
1,0.513889,0.938923
2,0.554012,0.89183
3,0.58179,0.865465
4,0.589506,0.8369
5,0.597222,0.8238
6,0.575617,0.809596
7,0.632716,0.798057
8,0.583333,0.785958
9,0.592593,0.775053
10,0.611111,0.773961
11,0.604938,0.761138
12,0.617284,0.760583
13,0.600309,0.76157
14,0.570988,0.759565
15,0.58179,0.755125
16,0.615741,0.758201
17,0.606481,0.752464
18,0.634259,0.747201
19,0.578704,0.740345
20,0.618827,0.74531
21,0.603395,0.743258
22,0.589506,0.740002
23,0.615741,0.745057
24,0.592593,0.740559
25,0.595679,0.745673
26,0.598765,0.7472
27,0.555556,0.742396
28,0.626543,0.740228
29,0.621914,0.746549
30,0.626543,0.737502
31,0.58642,0.731187
32,0.58642,0.718763
33,0.600309,0.72082
34,0.632716,0.721079
35,0.62963,0.726339
36,0.637346,0.734547
37,0.631173,0.724478
38,0.626543,0.725934
39,0.594136,0.723511
40,0.592593,0.731988
41,0.595679,0.727737
42,0.604938,0.725314
43,0.587963,0.729628
44,0.597222,0.735084
45,0.618827,0.741028
46,0.615741,0.730337
47,0.618827,0.736144
48,0.604938,0.738315
49,0.591049,0.734069
50,0.598765,0.733321
51,0.638889,0.730895
52,0.589506,0.736595
53,0.567901,0.746159
54,0.604938,0.741533
55,0.594136,0.737498
56,0.611111,0.743263
57,0.604938,0.742222
58,0.625,0.748696
59,0.597222,0.737239
60,0.615741,0.726739
61,0.606481,0.729442
62,0.592593,0.733194
63,0.623457,0.727006
64,0.603395,0.72667
65,0.618827,0.720479
66,0.563272,0.723248
67,0.609568,0.731284
68,0.631173,0.736223
69,0.638889,0.744133
70,0.617284,0.739692
71,0.617284,0.738481
72,0.640432,0.739355
73,0.595679,0.743043
74,0.612654,0.740758
75,0.628086,0.73612
76,0.628086,0.737147
77,0.614198,0.732923
78,0.612654,0.724525
79,0.611111,0.722217
80,0.612654,0.717704
81,0.62037,0.706891
82,0.615741,0.704055
83,0.623457,0.719079
84,0.597222,0.713965
85,0.625,0.724429
86,0.591049,0.725182
87,0.604938,0.724557
88,0.601852,0.730549
89,0.594136,0.720194
90,0.62037,0.720825
91,0.628086,0.727539
92,0.580247,0.73288
93,0.62037,0.728992
94,0.611111,0.73191
95,0.641975,0.722011
96,0.600309,0.726281
97,0.608025,0.720395
98,0.625,0.705478
99,0.615741,0.704578
100,0.623457,0.710233
101,0.626543,0.714506
102,0.591049,0.713238
103,0.608025,0.710022
104,0.618827,0.714285
105,0.603395,0.71027
106,0.594136,0.711344
107,0.597222,0.714385
108,0.623457,0.709522
109,0.62037,0.710464
110,0.614198,0.712785
111,0.617284,0.712398
112,0.638889,0.710612
113,0.615741,0.716747
114,0.595679,0.716241
115,0.615741,0.717334
116,0.621914,0.720437
117,0.625,0.722475
118,0.632716,0.7272
119,0.645062,0.731669
120,0.628086,0.719944
121,0.641975,0.730726
122,0.625,0.739653
123,0.609568,0.740366
124,0.617284,0.734265
125,0.614198,0.727094
126,0.606481,0.71211
127,0.598765,0.701322
128,0.617284,0.696292
129,0.638889,0.699919
130,0.589506,0.713436
131,0.655864,0.703609
