sweep,acceptance,plaquette
1,0.446952,0.948863
2,0.504244,0.91325
3,0.523534,0.886978
4,0.527778,0.868817
5,0.539159,0.854194
6,0.541281,0.842532
7,0.532986,0.834784
8,0.544174,0.828112
9,0.549576,0.823671
10,0.542438,0.820543
11,0.544946,0.817008
12,0.55189,0.811894
13,0.53858,0.806526
14,0.552469,0.805114
15,0.543017,0.801844
16,0.55054,0.802441
17,0.552469,0.802398
18,0.55787,0.802027
19,0.561728,0.799329
20,0.571373,0.799126
21,0.540702,0.799702
22,0.554398,0.798495
23,0.551505,0.795457
24,0.547261,0.797123
25,0.558449,0.794776
26,0.561728,0.793748
27,0.559992,0.794727
28,0.539159,0.792376
29,0.554012,0.792203
30,0.556713,0.792385
31,0.54321,0.793884
32,0.545332,0.793155
33,0.55517,0.791703
34,0.545139,0.787073
35,0.557099,0.78964
36,0.547454,0.788069
37,0.556134,0.788971
38,0.561921,0.788312
39,0.563465,0.791462
40,0.555363,0.78964
41,0.542824,0.787302
42,0.560185,0.788021
43,0.546103,0.788196
44,0.563079,0.792
45,0.549961,0.790713
46,0.567708,0.791284
47,0.561343,0.794562
48,0.548997,0.793467
49,0.553434,0.791888
50,0.542824,0.790802
51,0.549769,0.78912
52,0.557677,0.787694
53,0.555363,0.785726
54,0.560571,0.788796
55,0.551119,0.790744
56,0.560185,0.789493
57,0.552276,0.788377
58,0.54919,0.789111
59,0.573302,0.785537
60,0.553434,0.786312
61,0.566165,0.784133
62,0.551312,0.784895
63,0.555941,0.786948
64,0.562693,0.783511
65,0.562307,0.783518
66,0.564815,0.784784
67,0.539931,0.787009
68,0.549576,0.785647
69,0.558063,0.785561
70,0.558835,0.785613
71,0.553434,0.786539
72,0.570602,0.787636
73,0.556134,0.788436
74,0.55787,0.785974
75,0.556327,0.786006
76,0.557677,0.784073
77,0.556713,0.782367
78,0.570988,0.78405
79,0.548611,0.783428
80,0.563079,0.786649
81,0.558063,0.786077
82,0.559799,0.785083
83,0.551505,0.784414
84,0.552662,0.784674
85,0.552083,0.78326
86,0.554012,0.78516
87,0.546296,0.784403
88,0.563657,0.786566
89,0.555941,0.789376
90,0.556134,0.792099
91,0.565586,0.789814
92,0.544367,0.793389
93,0.569059,0.793811
94,0.543403,0.792669
95,0.56385,0.793627
96,0.555363,0.791033
97,0.556713,0.790672
98,0.557099,0.791328
99,0.55517,0.793794
100,0.548032,0.792632
101,0.545525,0.792375
102,0.552662,0.793247
103,0.549961,0.790945
104,0.555556,0.789208
105,0.548804,0.791071
106,0.553241,0.791466
107,0.545332,0.791335
108,0.55787,0.791915
109,0.554591,0.789543
110,0.559606,0.789556
111,0.55517,0.789914
112,0.55652,0.791228
113,0.559414,0.791409
114,0.557099,0.790346
115,0.543981,0.79271
116,0.561728,0.795015
117,0.554205,0.793753
118,0.565586,0.791281
119,0.560764,0.790348
120,0.558063,0.791653
121,0.552276,0.790452
122,0.566937,0.789857
123,0.548225,0.789024
124,0.559028,0.789072
125,0.559414,0.787071
