sweep,R,T,W
510,1,1,0.624987
510,1,2,0.390592
510,1,3,0.241056
510,2,1,0.412133
510,2,2,0.12446
510,2,3,0.0724809
520,1,1,0.641009
520,1,2,0.383168
520,1,3,0.240713
520,2,1,0.436141
520,2,2,0.138308
520,2,3,0.0212375
530,1,1,0.656854
530,1,2,0.377056
530,1,3,0.184802
530,2,1,0.454456
530,2,2,0.110086
530,2,3,-0.00440451
540,1,1,0.638909
540,1,2,0.421964
540,1,3,0.266796
540,2,1,0.393893
540,2,2,0.11518
540,2,3,0.0100493
550,1,1,0.658156
550,1,2,0.436533
550,1,3,0.270538
550,2,1,0.473892
550,2,2,0.178557
550,2,3,0.0190115
560,1,1,0.649539
560,1,2,0.38406
560,1,3,0.227863
560,2,1,0.398792
560,2,2,0.0777776
560,2,3,0.0259394
570,1,1,0.635623
570,1,2,0.390945
570,1,3,0.300213
570,2,1,0.36091
570,2,2,0.0796262
570,2,3,0.0547317
580,1,1,0.635327
580,1,2,0.424774
580,1,3,0.283538
580,2,1,0.39791
580,2,2,0.169726
580,2,3,0.0922581
590,1,1,0.643941
590,1,2,0.440581
590,1,3,0.292798
590,2,1,0.436333
590,2,2,0.171187
590,2,3,0.100174
600,1,1,0.599602
600,1,2,0.354607
600,1,3,0.213921
600,2,1,0.40843
600,2,2,0.119997
600,2,3,0.0831317
610,1,1,0.635603
610,1,2,0.43989
610,1,3,0.351707
610,2,1,0.422424
610,2,2,0.247544
610,2,3,0.226186
620,1,1,0.632798
620,1,2,0.44813
620,1,3,0.360282
620,2,1,0.416669
620,2,2,0.250669
620,2,3,0.150738
630,1,1,0.62054
630,1,2,0.42354
630,1,3,0.2797
630,2,1,0.391011
630,2,2,0.185322
630,2,3,0.111931
640,1,1,0.600327
640,1,2,0.390997
640,1,3,0.255231
640,2,1,0.365345
640,2,2,0.184741
640,2,3,0.0897376
650,1,1,0.707572
650,1,2,0.531973
650,1,3,0.368043
650,2,1,0.482933
650,2,2,0.296654
650,2,3,0.13887
660,1,1,0.644025
660,1,2,0.404435
660,1,3,0.319274
660,2,1,0.431671
660,2,2,0.209446
660,2,3,0.131208
670,1,1,0.632925
670,1,2,0.39925
670,1,3,0.222796
670,2,1,0.437137
670,2,2,0.212249
670,2,3,0.074827
680,1,1,0.627168
680,1,2,0.419347
680,1,3,0.28641
680,2,1,0.394518
680,2,2,0.120549
680,2,3,0.0401211
690,1,1,0.588147
690,1,2,0.345071
690,1,3,0.218724
690,2,1,0.35102
690,2,2,0.107855
690,2,3,0.0226513
700,1,1,0.681947
700,1,2,0.468506
700,1,3,0.309555
700,2,1,0.467732
700,2,2,0.217177
700,2,3,0.113466
710,1,1,0.625481
710,1,2,0.422836
710,1,3,0.263744
710,2,1,0.463027
710,2,2,0.252031
710,2,3,0.096041
720,1,1,0.630838
720,1,2,0.439659
720,1,3,0.363265
720,2,1,0.400722
720,2,2,0.148335
720,2,3,0.136222
730,1,1,0.581946
730,1,2,0.38616
730,1,3,0.268127
730,2,1,0.302896
730,2,2,0.0678969
730,2,3,-0.0253597
740,1,1,0.566074
740,1,2,0.338579
740,1,3,0.171491
740,2,1,0.315905
740,2,2,0.133332
740,2,3,0.00571507
750,1,1,0.609102
750,1,2,0.368154
750,1,3,0.217916
750,2,1,0.347721
750,2,2,0.0792442
750,2,3,-0.00290955
760,1,1,0.582823
760,1,2,0.296295
760,1,3,0.207542
760,2,1,0.298848
760,2,2,0.0306581
760,2,3,0.0242909
770,1,1,0.623628
770,1,2,0.365601
770,1,3,0.266928
770,2,1,0.380261
770,2,2,0.0690917
770,2,3,-0.00879374
780,1,1,0.630315
780,1,2,0.404847
780,1,3,0.244276
780,2,1,0.374827
780,2,2,0.129203
780,2,3,-0.020855
790,1,1,0.605448
790,1,2,0.38889
790,1,3,0.293797
790,2,1,0.413932
790,2,2,0.21087
790,2,3,0.127913
800,1,1,0.593293
800,1,2,0.327202
800,1,3,0.151514
800,2,1,0.297728
800,2,2,0.107842
800,2,3,0.0121029
810,1,1,0.598298
810,1,2,0.385171
810,1,3,0.301427
810,2,1,0.343902
810,2,2,0.158851
810,2,3,0.0710819
820,1,1,0.680103
820,1,2,0.429954
820,1,3,0.287919
820,2,1,0.415283
820,2,2,0.116096
820,2,3,0.0708209
830,1,1,0.633683
830,1,2,0.378737
830,1,3,0.217721
830,2,1,0.389633
830,2,2,0.140648
830,2,3,0.0600694
840,1,1,0.620597
840,1,2,0.409954
840,1,3,0.259611
840,2,1,0.416738
840,2,2,0.199005
840,2,3,0.0659242
850,1,1,0.619539
850,1,2,0.399563
850,1,3,0.253511
850,2,1,0.430688
850,2,2,0.146079
850,2,3,-0.001402
860,1,1,0.635141
860,1,2,0.353458
860,1,3,0.216947
860,2,1,0.445613
860,2,2,0.191817
860,2,3,0.0864193
870,1,1,0.581577
870,1,2,0.329182
870,1,3,0.223877
870,2,1,0.387861
870,2,2,0.177401
870,2,3,0.103039
880,1,1,0.552381
880,1,2,0.319483
880,1,3,0.128827
880,2,1,0.307522
880,2,2,0.0728085
880,2,3,-0.00629588
890,1,1,0.619134
890,1,2,0.417216
890,1,3,0.286518
890,2,1,0.415146
890,2,2,0.150518
890,2,3,0.0173278
900,1,1,0.617581
900,1,2,0.425623
900,1,3,0.2893
900,2,1,0.399264
900,2,2,0.210615
900,2,3,0.11863
910,1,1,0.610694
910,1,2,0.403171
910,1,3,0.285748
910,2,1,0.387265
910,2,2,0.194968
910,2,3,0.13396
920,1,1,0.630203
920,1,2,0.419742
920,1,3,0.279798
920,2,1,0.42005
920,2,2,0.195378
920,2,3,0.0863651
930,1,1,0.613209
930,1,2,0.366075
930,1,3,0.23909
930,2,1,0.369974
930,2,2,0.162193
930,2,3,0.119287
940,1,1,0.578439
940,1,2,0.325057
940,1,3,0.168603
940,2,1,0.346517
940,2,2,0.0974858
