R,T,Veff,err
1,1,0.16804605852879329,0.00017016455118225218
1,2,0.16291624845002595,0.00017769263392283948
1,3,0.1615454237115932,0.0002604989146159134
1,4,0.16101917825596734,0.0003392544988062418
1,5,0.1609531767683441,0.0003117172815476291
2,1,0.2897424883235953,0.0004247058200491531
2,2,0.2717072928500359,0.0005052903065365952
2,3,0.26621659010499954,0.0006299206866079923
2,4,0.2643552280111212,0.0008565833331520111
2,5,0.26355724588532325,0.0009251311436570146
3,1,0.39843364296129025,0.0008633067422400077
3,2,0.36371106256671126,0.0011828338620854303
3,3,0.3512476583456072,0.0015618923761000136
3,4,0.34787658771364605,0.0020106589428791257
3,5,0.34595185523616134,0.002130333088513122
4,1,0.5031754707973395,0.0013908035858115075
4,2,0.4489983525175205,0.002161702184299496
4,3,0.4291945038238971,0.003068263837945849
4,4,0.4230010759580516,0.004289387595364324
4,5,0.4181074353644165,0.005404541958998832
5,1,0.6066246415818188,0.0019446005676144195
5,2,0.5306481382747155,0.003348340180256514
5,3,0.5031624238162138,0.004977573221099122
5,4,0.4972700960004399,0.0067562592676423915
5,5,0.4886502091556615,0.008225378283365704
