sweep,acceptance,plaquette
1,0.489583,0.941154
2,0.489583,0.902669
3,0.578125,0.878622
4,0.520833,0.852829
5,0.53125,0.843872
6,0.598958,0.831051
7,0.583333,0.820146
8,0.578125,0.794561
9,0.53125,0.805988
10,0.536458,0.794574
11,0.526042,0.791922
12,0.505208,0.785102
13,0.59375,0.793507
14,0.635417,0.790907
15,0.59375,0.80622
16,0.5,0.791967
17,0.572917,0.797322
18,0.5625,0.826293
19,0.59375,0.807388
20,0.567708,0.793424
21,0.65625,0.78417
22,0.557292,0.769769
23,0.567708,0.767038
24,0.604167,0.755469
25,0.552083,0.773618
26,0.557292,0.782959
27,0.536458,0.776534
28,0.59375,0.766769
29,0.59375,0.765329
30,0.557292,0.765261
31,0.598958,0.790751
32,0.588542,0.763347
33,0.510417,0.772772
34,0.640625,0.786375
35,0.541667,0.7777
36,0.5625,0.773825
37,0.671875,0.774545
38,0.520833,0.783362
39,0.604167,0.780501
40,0.598958,0.780655
41,0.557292,0.790111
42,0.578125,0.78979
43,0.630208,0.780729
44,0.567708,0.782677
45,0.651042,0.781252
46,0.640625,0.785551
47,0.598958,0.791846
48,0.557292,0.781096
49,0.614583,0.77869
50,0.546875,0.780076
51,0.536458,0.77791
52,0.536458,0.790152
53,0.557292,0.786496
54,0.598958,0.784431
55,0.604167,0.787748
56,0.5625,0.774472
57,0.578125,0.759516
58,0.583333,0.763821
59,0.572917,0.763968
60,0.625,0.770378
61,0.526042,0.768953
62,0.583333,0.758849
63,0.567708,0.765648
64,0.510417,0.781418
65,0.567708,0.782784
66,0.520833,0.780118
67,0.557292,0.777992
68,0.578125,0.790627
69,0.546875,0.792935
70,0.526042,0.797388
71,0.609375,0.778153
72,0.604167,0.773466
73,0.572917,0.780349
74,0.583333,0.793935
75,0.640625,0.799741
76,0.65625,0.795876
77,0.588542,0.78795
78,0.53125,0.784834
79,0.619792,0.800008
80,0.510417,0.787667
81,0.557292,0.784503
82,0.619792,0.770837
83,0.619792,0.778799
84,0.567708,0.769585
85,0.567708,0.757975
86,0.609375,0.756401
87,0.614583,0.760519
88,0.583333,0.753524
89,0.578125,0.760781
90,0.588542,0.765752
91,0.5625,0.774612
92,0.53125,0.777987
93,0.557292,0.765093
94,0.557292,0.777778
95,0.5625,0.776387
96,0.505208,0.777923
97,0.546875,0.770988
98,0.59375,0.77576
99,0.5625,0.774097
100,0.619792,0.771237
101,0.552083,0.766439
102,0.552083,0.771688
103,0.536458,0.754712
104,0.5625,0.75503
105,0.604167,0.785711
106,0.583333,0.781771
107,0.630208,0.77752
108,0.619792,0.764216
109,0.640625,0.766176
110,0.572917,0.757919
111,0.588542,0.742413
112,0.5625,0.726776
113,0.557292,0.716911
114,0.583333,0.730252
115,0.59375,0.721694
116,0.614583,0.73448
117,0.619792,0.735537
118,0.572917,0.734175
119,0.583333,0.744103
120,0.609375,0.751427
121,0.588542,0.744775
122,0.526042,0.75759
123,0.604167,0.759213
124,0.645833,0.749781
125,0.635417,0.754129
126,0.5625,0.74859
127,0.619792,0.756506
128,0.572917,0.752968
129,0.59375,0.761664
130,0.520833,0.781517
131,0.59375,0.78461
132,0.588542,0.774476
133,0.526042,0.761278
134,0.583333,0.758627
135,0.59375,0.774458
136,0.609375,0.797908
137,0.552083,0.799876
138,0.53125,0.813976
139,0.614583,0.799075
140,0.567708,0.791899
141,0.572917,0.794814
142,0.484375,0.798122
143,0.59375,0.795058
144,0.609375,0.796179
145,0.598958,0.778264
146,0.635417,0.782931
147,0.572917,0.773775
148,0.609375,0.762185
149,0.552083,0.758285
150,0.572917,0.742776
151,0.609375,0.735664
152,0.609375,0.747547
153,0.59375,0.746714
154,0.557292,0.739209
155,0.557292,0.734024
156,0.578125,0.726717
157,0.604167,0.720349
158,0.625,0.72828
159,0.510417,0.717707
160,0.546875,0.737484
161,0.536458,0.740442
162,0.510417,0.752033
163,0.5625,0.752055
164,0.604167,0.752495
165,0.614583,0.748465
166,0.59375,0.756039
167,0.536458,0.759617
168,0.630208,0.770466
169,0.557292,0.775143
170,0.572917,0.781765
171,0.552083,0.782956
172,0.59375,0.765405
173,0.557292,0.755105
174,0.598958,0.776895
175,0.572917,0.755287
176,0.598958,0.763925
177,0.5625,0.767649
178,0.583333,0.780078
179,0.609375,0.78263
180,0.661458,0.778534
181,0.588542,0.776037
182,0.598958,0.778648
183,0.59375,0.766994
184,0.572917,0.758569
185,0.609375,0.75102
186,0.510417,0.751636
187,0.552083,0.750245
188,0.557292,0.758989
189,0.552083,0.744004
190,0.614583,0.754545
191,0.567708,0.765614
192,0.526042,0.770857
193,0.5625,0.77531
194,0.541667,0.770833
195,0.572917,0.762448
196,0.541667,0.764967
197,0.588542,0.77221
198,0.588542,0.797439
199,0.583333,0.790213
200,0.635417,0.793012
201,0.578125,0.779779
202,0.541667,0.772276
203,0.604167,0.788791
204,0.59375,0.80095
205,0.59375,0.803264
206,0.552083,0.800743
207,0.494792,0.806139
208,0.557292,0.798734
209,0.630208,0.798644
210,0.598958,0.78771
211,0.583333,0.783618
212,0.614583,0.781982
213,0.526042,0.765306
214,0.583333,0.774941
215,0.572917,0.779614
216,0.630208,0.77737
217,0.630208,0.769062
218,0.541667,0.77342
219,0.5,0.7664
220,0.598958,0.781177
221,0.583333,0.778827
222,0.578125,0.768433
223,0.536458,0.760456
224,0.614583,0.761223
225,0.5625,0.772439
226,0.59375,0.776949
227,0.614583,0.762319
228,0.567708,0.782619
229,0.536458,0.773604
230,0.609375,0.773437
231,0.572917,0.771869
232,0.567708,0.784675
233,0.546875,0.786602
234,0.567708,0.794792
235,0.588542,0.791843
236,0.541667,0.782143
237,0.526042,0.773181
238,0.588542,0.775288
239,0.505208,0.775723
240,0.526042,0.779825
241,0.567708,0.779411
242,0.453125,0.780708
243,0.5625,0.779436
244,0.588542,0.76187
245,0.541667,0.75239
246,0.598958,0.756153
247,0.630208,0.752727
248,0.604167,0.760127
249,0.614583,0.760381
250,0.536458,0.754708
251,0.583333,0.747041
252,0.588542,0.761885
253,0.572917,0.760453
254,0.609375,0.758726
255,0.53125,0.756087
256,0.515625,0.739952
257,0.583333,0.756163
258,0.578125,0.751663
259,0.53125,0.742864
260,0.598958,0.742253
261,0.635417,0.71918
262,0.609375,0.724062
263,0.651042,0.738331
264,0.552083,0.750586
265,0.5625,0.75806
266,0.578125,0.754681
267,0.572917,0.745756
268,0.572917,0.737547
269,0.53125,0.746433
270,0.609375,0.734585
271,0.59375,0.718975
272,0.630208,0.742252
273,0.541667,0.74877
274,0.59375,0.763215
275,0.614583,0.760716
276,0.583333,0.778158
277,0.536458,0.767943
278,0.567708,0.772486
279,0.552083,0.765097
280,0.583333,0.786501
281,0.536458,0.799246
282,0.546875,0.805671
283,0.557292,0.784613
284,0.583333,0.778792
285,0.604167,0.775829
286,0.541667,0.772432
287,0.651042,0.77179
288,0.578125,0.780545
289,0.541667,0.774147
290,0.557292,0.78533
291,0.5625,0.764413
292,0.53125,0.769485
293,0.598958,0.757635
294,0.625,0.763656
295,0.489583,0.763874
296,0.583333,0.774906
297,0.598958,0.768983
298,0.614583,0.767652
299,0.5625,0.761863
300,0.604167,0.770449
301,0.572917,0.752164
302,0.614583,0.783324
303,0.526042,0.787611
304,0.567708,0.781146
305,0.614583,0.778837
306,0.604167,0.790799
307,0.53125,0.78648
308,0.578125,0.771329
309,0.505208,0.77492
310,0.609375,0.767472
311,0.567708,0.759552
312,0.578125,0.762473
313,0.583333,0.755114
314,0.598958,0.749385
315,0.598958,0.74049
316,0.578125,0.747705
317,0.526042,0.748813
318,0.598958,0.724206
319,0.588542,0.750248
320,0.59375,0.759299
321,0.557292,0.760119
322,0.515625,0.75427
323,0.572917,0.772276
324,0.609375,0.775276
325,0.5625,0.780262
326,0.604167,0.767387
327,0.619792,0.747363
328,0.567708,0.7493
329,0.588542,0.744453
330,0.578125,0.748121
331,0.619792,0.734834
332,0.583333,0.736209
333,0.578125,0.73026
334,0.598958,0.734095
335,0.619792,0.74109
336,0.604167,0.755575
337,0.572917,0.756235
338,0.572917,0.75532
339,0.567708,0.768286
340,0.5625,0.751266
341,0.598958,0.767416
342,0.583333,0.761472
343,0.588542,0.758472
344,0.567708,0.753892
345,0.588542,0.750571
346,0.588542,0.748418
347,0.588542,0.74654
348,0.541667,0.760659
349,0.53125,0.7636
350,0.630208,0.757114
351,0.630208,0.744242
352,0.588542,0.741451
353,0.567708,0.734869
354,0.598958,0.722792
355,0.552083,0.719221
356,0.59375,0.709278
357,0.552083,0.701243
358,0.614583,0.715388
359,0.572917,0.708966
360,0.630208,0.736831
361,0.625,0.743086
362,0.578125,0.739287
363,0.520833,0.726803
364,0.651042,0.71904
365,0.614583,0.722261
366,0.614583,0.72765
367,0.572917,0.727445
368,0.604167,0.725207
369,0.645833,0.72671
370,0.625,0.719254
371,0.572917,0.725792
372,0.578125,0.743551
373,0.541667,0.744771
374,0.583333,0.739536
375,0.541667,0.747881
376,0.5625,0.748552
377,0.614583,0.759606
378,0.557292,0.767557
379,0.645833,0.759895
380,0.59375,0.759688
381,0.536458,0.749971
382,0.546875,0.747886
383,0.552083,0.7419
384,0.572917,0.752673
385,0.640625,0.744089
386,0.614583,0.740119
387,0.598958,0.752417
388,0.515625,0.7679
389,0.578125,0.777719
390,0.619792,0.772861
391,0.536458,0.768909
392,0.567708,0.776362
393,0.567708,0.766952
394,0.59375,0.77623
395,0.598958,0.766055
396,0.510417,0.760696
397,0.614583,0.761925
398,0.609375,0.761636
399,0.604167,0.745233
400,0.588542,0.755408
401,0.59375,0.765107
402,0.572917,0.736637
403,0.598958,0.758775
404,0.614583,0.762299
405,0.552083,0.755998
406,0.567708,0.761533
407,0.604167,0.774675
408,0.484375,0.776794
409,0.552083,0.769386
410,0.557292,0.787016
411,0.567708,0.769742
412,0.635417,0.768615
413,0.541667,0.788688
