R,T,Veff,err
1,1,0.15200025525316407,9.911454150119836e-05
1,2,0.14680669062187102,0.00010138467266197132
1,3,0.14568446074020303,0.00011891339278225897
1,4,0.1451800788529729,0.00015186363125515955
1,5,0.14526651459695872,0.00017688214444098324
2,1,0.26035268352820484,0.00022686805673300018
2,2,0.2427249059144252,0.0002507980328323066
2,3,0.23779873703634546,0.0004036530254951776
2,4,0.2362104511044958,0.0003865072909365445
2,5,0.23584660642149036,0.0005105032114827203
3,1,0.356425095881864,0.00039675416840323345
3,2,0.3223618935135866,0.0004873572578571366
3,3,0.31193419414979573,0.0009222855611328139
3,4,0.30851212743558154,0.0012035352438255242
3,5,0.3066210548727719,0.001033254221235494
4,1,0.4483693800624682,0.0005834581349579778
4,2,0.3964882805900283,0.0007994200317095535
4,3,0.37979648182198744,0.0014353934239169795
4,4,0.3738797328153325,0.0020154457049685595
4,5,0.3708864659605995,0.0021871165865246386
5,1,0.5387880969207117,0.0008658563919545196
5,2,0.46800188413311083,0.0012677928495863893
5,3,0.4435802745610591,0.0016844095061186938
5,4,0.4356603824831051,0.003094707249637355
5,5,0.42942864660336966,0.004453689619413397
