sweep,acceptance,plaquette
1,0.387583,0.959573
2,0.430458,0.931074
3,0.453542,0.911062
4,0.466125,0.897082
5,0.47225,0.886238
6,0.481,0.877475
7,0.481458,0.869264
8,0.483375,0.863831
9,0.489667,0.859184
10,0.491,0.855746
11,0.485708,0.853709
12,0.4855,0.851171
13,0.486083,0.850029
14,0.494167,0.849906
15,0.489875,0.848786
16,0.489042,0.846716
17,0.486333,0.847184
18,0.490125,0.846437
19,0.489875,0.845278
20,0.4875,0.845707
21,0.49275,0.844426
22,0.492917,0.843996
23,0.484792,0.844034
24,0.488333,0.842844
25,0.493167,0.842087
26,0.490042,0.841966
27,0.497875,0.841997
28,0.493625,0.841749
29,0.486042,0.841651
30,0.496208,0.841675
31,0.497708,0.841426
32,0.488583,0.840615
33,0.496208,0.840732
34,0.489708,0.840962
35,0.496875,0.841137
36,0.490417,0.841098
37,0.49175,0.841654
38,0.487792,0.841374
39,0.48775,0.840715
40,0.49625,0.841683
41,0.492917,0.841371
42,0.484167,0.841099
43,0.487917,0.841087
44,0.490875,0.841748
45,0.485958,0.841705
46,0.49225,0.84116
47,0.488208,0.840059
48,0.488458,0.840043
49,0.490417,0.839611
50,0.49825,0.839434
51,0.491875,0.837544
52,0.48975,0.838732
53,0.489292,0.839913
54,0.492917,0.840101
55,0.491167,0.839715
56,0.49725,0.840459
57,0.493292,0.840528
58,0.489875,0.840562
59,0.490625,0.840075
60,0.494917,0.840954
61,0.49775,0.840629
62,0.493333,0.839928
63,0.494583,0.840127
64,0.495375,0.841359
65,0.490542,0.840162
66,0.495458,0.840676
67,0.486958,0.840719
68,0.4875,0.841224
69,0.491875,0.840534
70,0.49275,0.840456
71,0.484833,0.840024
72,0.494833,0.841026
73,0.491417,0.841218
74,0.489333,0.841572
75,0.49225,0.84101
76,0.498375,0.840353
77,0.494583,0.839721
78,0.49175,0.841087
79,0.493792,0.841507
80,0.489583,0.840945
81,0.491833,0.84083
82,0.491917,0.84089
83,0.494917,0.84082
84,0.492208,0.84044
85,0.48375,0.839946
86,0.49,0.840346
87,0.490375,0.839959
88,0.49425,0.841113
89,0.491042,0.840843
90,0.490333,0.840782
91,0.498333,0.839726
92,0.494083,0.839669
93,0.494958,0.841458
94,0.493458,0.841112
95,0.490958,0.840957
96,0.494625,0.841093
97,0.485208,0.840454
98,0.487708,0.841112
99,0.49575,0.841475
100,0.494958,0.840498
101,0.485708,0.83945
102,0.493542,0.840372
103,0.4965,0.840359
104,0.487375,0.840386
105,0.489167,0.840379
106,0.493667,0.840615
107,0.496042,0.839711
108,0.488542,0.839833
109,0.49375,0.839748
110,0.495542,0.840281
111,0.496625,0.839814
112,0.489042,0.840753
113,0.487792,0.840634
114,0.492542,0.841521
115,0.490458,0.840968
116,0.491083,0.839782
117,0.491125,0.839256
118,0.491625,0.839424
119,0.496917,0.839787
120,0.49475,0.838469
121,0.487833,0.838673
122,0.491708,0.838919
123,0.492542,0.839373
124,0.495542,0.838283
125,0.501208,0.839533
126,0.496208,0.839092
127,0.488292,0.838867
128,0.490667,0.838495
129,0.489917,0.839835
130,0.496833,0.839165
131,0.494542,0.840479
132,0.489083,0.839932
133,0.491833,0.840352
134,0.495208,0.839303
135,0.49075,0.839478
136,0.490625,0.838894
137,0.488625,0.839493
138,0.493208,0.839708
139,0.494625,0.838907
140,0.490792,0.838747
141,0.496875,0.838403
142,0.489458,0.838208
143,0.492708,0.838947
144,0.49225,0.839346
145,0.500042,0.839508
146,0.487542,0.840474
147,0.493417,0.839702
148,0.493,0.839358
149,0.492792,0.838676
150,0.49,0.838397
151,0.489833,0.839444
152,0.489292,0.839801
153,0.49675,0.840507
154,0.492542,0.840697
155,0.491417,0.840344
156,0.494875,0.840174
157,0.495083,0.840167
158,0.496708,0.840217
159,0.491583,0.839399
160,0.485208,0.838712
161,0.489625,0.838196
162,0.486667,0.838406
163,0.487417,0.838604
164,0.484208,0.838989
165,0.487458,0.837786
166,0.492625,0.838079
167,0.487958,0.8386
168,0.488792,0.837938
169,0.494708,0.839083
170,0.493667,0.838363
171,0.49475,0.837953
172,0.488458,0.837764
173,0.49225,0.837288
174,0.494292,0.838454
175,0.493167,0.838996
176,0.489667,0.839655
177,0.489833,0.840507
178,0.491417,0.839394
179,0.494083,0.839586
180,0.488667,0.839829
181,0.495708,0.83877
182,0.490042,0.839772
183,0.494625,0.839977
184,0.492083,0.840121
185,0.49475,0.839944
186,0.495833,0.838548
187,0.491208,0.838798
188,0.490333,0.839951
189,0.49075,0.839956
190,0.4935,0.839172
191,0.488458,0.838555
192,0.489208,0.838178
193,0.493542,0.838897
194,0.490875,0.840367
195,0.493458,0.840401
196,0.485792,0.839651
197,0.489625,0.838784
198,0.496417,0.83855
199,0.493875,0.838403
200,0.494792,0.838591
201,0.487833,0.838927
202,0.485458,0.839211
203,0.495042,0.839696
204,0.494208,0.83995
205,0.492167,0.839822
206,0.492458,0.839557
207,0.492042,0.839447
208,0.49275,0.839872
209,0.490208,0.838924
210,0.49675,0.83874
211,0.49525,0.838589
212,0.49175,0.838198
213,0.493958,0.838569
214,0.490833,0.837232
215,0.491083,0.838348
216,0.493458,0.838282
217,0.49175,0.838744
218,0.49475,0.839657
219,0.491458,0.840073
220,0.492625,0.840402
221,0.489583,0.841903
222,0.494167,0.840213
223,0.493042,0.83949
224,0.4905,0.839934
225,0.491708,0.839182
226,0.49975,0.837945
227,0.486958,0.839117
228,0.492125,0.83921
229,0.491625,0.839609
230,0.487792,0.839853
231,0.495083,0.839439
232,0.490917,0.83997
233,0.488958,0.841314
234,0.497292,0.841013
235,0.491417,0.840207
236,0.488208,0.840409
237,0.488042,0.840944
238,0.486708,0.841167
239,0.489708,0.841117
240,0.492292,0.841289
241,0.49175,0.840523
242,0.492167,0.840497
243,0.490417,0.839281
244,0.493417,0.840181
245,0.489458,0.839834
246,0.495417,0.839947
247,0.491208,0.840519
248,0.492833,0.840992
249,0.488542,0.840826
250,0.49475,0.841521
251,0.488417,0.842
252,0.491958,0.841638
253,0.494417,0.84204
254,0.488292,0.842024
255,0.492833,0.841307
256,0.488833,0.841491
257,0.491042,0.842551
258,0.491458,0.842265
259,0.492542,0.842545
260,0.488833,0.842397
261,0.491125,0.841913
262,0.491167,0.841715
263,0.488458,0.841242
264,0.493292,0.840546
265,0.493542,0.840773
266,0.494458,0.840849
267,0.490458,0.839654
268,0.496375,0.839578
269,0.489625,0.840032
270,0.499708,0.840913
271,0.489667,0.84134
272,0.492167,0.841891
273,0.487958,0.840427
274,0.492542,0.841226
275,0.49025,0.841562
276,0.49625,0.840501
277,0.491167,0.840137
278,0.493583,0.840812
279,0.487833,0.840006
280,0.492458,0.839536
281,0.493333,0.840125
282,0.486125,0.839294
283,0.499167,0.839803
284,0.493708,0.839732
285,0.48975,0.839096
286,0.494458,0.83881
287,0.4905,0.839936
288,0.49975,0.839974
289,0.495542,0.839491
290,0.491917,0.839327
291,0.498708,0.83876
292,0.492375,0.839232
293,0.497,0.83873
294,0.492042,0.838444
295,0.491208,0.839249
296,0.491208,0.83962
297,0.492625,0.839474
298,0.495292,0.838494
299,0.493292,0.839418
300,0.493708,0.839265
301,0.490917,0.839712
302,0.490917,0.838993
303,0.494583,0.839074
304,0.495417,0.839538
305,0.488208,0.840426
306,0.49375,0.840267
307,0.492167,0.839925
308,0.494667,0.840299
309,0.489375,0.840764
310,0.493375,0.839556
311,0.493542,0.839587
312,0.498,0.83939
313,0.49225,0.839797
314,0.494167,0.839361
315,0.4885,0.838576
316,0.495,0.838315
317,0.496208,0.838261
318,0.494542,0.840187
319,0.495625,0.839548
320,0.492417,0.840101
321,0.491333,0.839922
322,0.492375,0.839417
323,0.491542,0.839641
324,0.490833,0.84041
325,0.4895,0.840504
326,0.490625,0.839766
327,0.501042,0.840051
328,0.492083,0.839701
329,0.48825,0.839882
330,0.492375,0.840319
331,0.494333,0.839741
332,0.487083,0.839958
333,0.491458,0.840194
334,0.48975,0.839994
335,0.494292,0.839432
336,0.494333,0.839185
337,0.494875,0.838331
338,0.482625,0.839
339,0.493,0.838984
340,0.490917,0.839251
341,0.489542,0.839879
342,0.495458,0.840424
343,0.495833,0.839435
344,0.488125,0.839104
345,0.491667,0.839234
346,0.490583,0.837723
347,0.495125,0.838817
348,0.49125,0.839503
349,0.493083,0.839417
350,0.489792,0.83926
351,0.493958,0.839526
352,0.48825,0.839581
353,0.492417,0.838185
354,0.490292,0.838261
355,0.497542,0.83912
356,0.496792,0.838851
357,0.49225,0.839096
358,0.482333,0.838923
359,0.491792,0.838446
360,0.497708,0.836755
361,0.490292,0.838186
362,0.488958,0.836527
363,0.497458,0.837578
364,0.496708,0.838642
365,0.493958,0.839439
366,0.497042,0.839327
367,0.492375,0.838727
368,0.488333,0.838912
369,0.495,0.838985
370,0.492708,0.840262
371,0.493667,0.840494
372,0.497417,0.841012
373,0.490583,0.840606
374,0.486625,0.839982
375,0.489917,0.840749
376,0.496583,0.83995
377,0.489208,0.840536
378,0.494417,0.839505
379,0.494708,0.83956
380,0.495208,0.838985
381,0.49275,0.839171
382,0.48975,0.839754
383,0.494792,0.839872
384,0.486958,0.838999
385,0.488667,0.839305
386,0.489583,0.839709
387,0.493208,0.840025
388,0.492292,0.839794
389,0.49075,0.839785
390,0.494625,0.83919
391,0.488083,0.839366
392,0.490792,0.839268
393,0.495833,0.839186
394,0.491625,0.840194
395,0.492667,0.839112
396,0.493125,0.839054
397,0.486375,0.839976
398,0.489,0.839638
399,0.494,0.839989
400,0.491583,0.839452
401,0.486958,0.838573
402,0.492958,0.838894
403,0.494958,0.838221
404,0.493375,0.837602
405,0.49075,0.837892
406,0.497167,0.838204
407,0.48975,0.837745
408,0.491958,0.838692
409,0.493,0.838045
410,0.49225,0.837875
411,0.4895,0.838505
412,0.493792,0.838462
413,0.494958,0.839116
414,0.495875,0.840022
415,0.49225,0.838287
416,0.490583,0.839303
417,0.491125,0.839071
418,0.495,0.840518
419,0.499458,0.840363
420,0.500417,0.840617
421,0.4965,0.840026
422,0.492125,0.839017
423,0.49125,0.838844
424,0.498292,0.839087
425,0.493792,0.838203
426,0.495333,0.83909
427,0.487083,0.837626
428,0.491792,0.837985
429,0.49375,0.838119
430,0.495458,0.838979
431,0.499667,0.839393
432,0.494875,0.838393
433,0.497083,0.838689
434,0.490542,0.839097
435,0.492167,0.838531
436,0.491208,0.838592
437,0.490958,0.839874
438,0.490875,0.839121
439,0.497708,0.839653
440,0.492875,0.839755
441,0.489625,0.840465
442,0.489417,0.839299
443,0.493083,0.83873
444,0.490917,0.838515
445,0.494792,0.838494
446,0.496667,0.837688
447,0.4935,0.83815
448,0.486708,0.837694
449,0.497917,0.837991
450,0.494708,0.839005
451,0.494875,0.837774
452,0.495417,0.838826
453,0.49525,0.839127
454,0.491667,0.839212
455,0.4925,0.83958
456,0.496833,0.838908
457,0.495792,0.839159
458,0.4965,0.839597
459,0.494083,0.840387
460,0.495542,0.84072
461,0.490833,0.84025
462,0.492458,0.839802
463,0.493292,0.839502
464,0.490458,0.839754
465,0.488875,0.839921
466,0.494292,0.839597
467,0.4955,0.840272
468,0.488042,0.839699
469,0.491333,0.839405
470,0.495208,0.839496
471,0.490917,0.840064
472,0.492625,0.840394
473,0.489083,0.838875
474,0.493417,0.838923
475,0.494292,0.839858
476,0.501292,0.841222
477,0.488667,0.840642
478,0.497458,0.839786
479,0.494292,0.838972
480,0.492583,0.83888
481,0.495125,0.839999
482,0.492,0.839859
483,0.488458,0.840321
484,0.493917,0.840996
485,0.499958,0.839446
486,0.485833,0.8385
487,0.494083,0.838239
488,0.494667,0.838426
489,0.490167,0.838136
490,0.496958,0.837722
491,0.494167,0.836743
492,0.493583,0.837472
493,0.492208,0.838396
494,0.491875,0.838784
495,0.493583,0.837502
496,0.498,0.837941
497,0.495375,0.837426
498,0.49325,0.83837
499,0.492667,0.838021
500,0.495958,0.838492
501,0.489917,0.837853
502,0.492875,0.837964
503,0.496,0.838516
504,0.486417,0.838006
505,0.49375,0.838975
506,0.492167,0.839719
507,0.491625,0.839097
508,0.489875,0.839283
509,0.493875,0.838674
510,0.494,0.838177
511,0.501333,0.838328
512,0.495667,0.839057
513,0.488917,0.839152
514,0.497125,0.839412
515,0.489208,0.841089
516,0.494625,0.840489
517,0.490792,0.840389
518,0.493375,0.841055
519,0.490917,0.840239
520,0.489042,0.83893
521,0.49,0.839087
522,0.500208,0.838242
523,0.491125,0.839435
524,0.492958,0.839182
525,0.491792,0.8399
526,0.494125,0.839649
527,0.489667,0.83925
528,0.495833,0.839371
529,0.490042,0.838629
530,0.498333,0.839103
531,0.492542,0.83951
532,0.494042,0.839962
533,0.489625,0.838786
534,0.49,0.838154
535,0.494083,0.837343
536,0.49775,0.840049
537,0.495333,0.839454
538,0.491042,0.838695
539,0.48925,0.838142
540,0.487167,0.839508
541,0.493042,0.839055
542,0.489917,0.839801
543,0.490208,0.839558
544,0.490542,0.838452
545,0.492917,0.838667
546,0.489333,0.838817
547,0.49375,0.83934
548,0.492625,0.839909
549,0.492958,0.840637
550,0.484958,0.83952
551,0.493208,0.839465
552,0.491792,0.839568
553,0.488875,0.839616
554,0.494125,0.839516
555,0.495,0.838474
556,0.491708,0.837805
557,0.490375,0.838006
558,0.48925,0.837179
559,0.48675,0.837335
560,0.493125,0.836752
561,0.497833,0.835466
562,0.492,0.835996
563,0.492542,0.836855
564,0.501333,0.838345
565,0.490542,0.837575
566,0.49275,0.838236
567,0.487208,0.838051
568,0.4955,0.838797
569,0.498625,0.837564
570,0.497208,0.838229
571,0.491542,0.838766
572,0.496833,0.838471
573,0.498,0.838673
574,0.490375,0.839448
575,0.487833,0.839245
576,0.492375,0.839407
577,0.4935,0.84033
578,0.489542,0.839787
579,0.494333,0.839309
580,0.494333,0.839452
581,0.495125,0.83954
582,0.48975,0.839551
583,0.495167,0.840526
584,0.486292,0.840517
585,0.488458,0.841038
586,0.4935,0.84019
587,0.488708,0.840638
588,0.491083,0.841201
589,0.492333,0.842026
590,0.487417,0.841969
591,0.502333,0.841407
592,0.493667,0.841013
593,0.489125,0.840686
594,0.495542,0.839759
595,0.494292,0.839441
596,0.500083,0.840532
597,0.492042,0.840521
598,0.486833,0.840412
599,0.494875,0.840048
600,0.489458,0.841021
601,0.48775,0.840692
602,0.493583,0.841089
603,0.490833,0.842177
604,0.483125,0.841096
605,0.489292,0.8406
606,0.488833,0.840704
607,0.488167,0.839716
608,0.488458,0.838971
609,0.491708,0.838151
610,0.491667,0.838708
611,0.495708,0.838438
612,0.494875,0.837936
613,0.499375,0.838045
614,0.491333,0.839555
615,0.494208,0.839434
616,0.491833,0.839426
617,0.492917,0.838766
618,0.490792,0.839562
619,0.491833,0.840847
620,0.490333,0.839925
621,0.487792,0.839658
622,0.491375,0.83892
623,0.486042,0.840291
624,0.493375,0.840211
625,0.492292,0.840599
626,0.490083,0.84061
627,0.4905,0.840249
628,0.496667,0.839177
629,0.491625,0.839366
630,0.491083,0.839795
631,0.490667,0.840516
632,0.491542,0.840694
633,0.49075,0.839772
634,0.494958,0.839535
635,0.494042,0.838992
636,0.49325,0.838877
637,0.494208,0.837328
638,0.49,0.837898
639,0.491292,0.838312
640,0.491583,0.838362
641,0.486542,0.839001
642,0.497542,0.840297
643,0.497833,0.839572
644,0.493917,0.839685
645,0.490833,0.840549
646,0.494875,0.83933
647,0.49525,0.839088
648,0.4975,0.840043
649,0.488833,0.840255
650,0.492625,0.841092
651,0.4915,0.840679
652,0.491708,0.840484
653,0.490917,0.841057
654,0.4935,0.841719
655,0.492167,0.84051
656,0.487625,0.838782
657,0.487917,0.838854
658,0.496833,0.839713
659,0.49375,0.838934
660,0.496375,0.839101
661,0.498917,0.838409
662,0.4915,0.837987
663,0.485583,0.83843
664,0.488708,0.838568
665,0.494625,0.839923
666,0.492417,0.839288
667,0.489542,0.839587
668,0.495208,0.839682
669,0.492542,0.839194
670,0.494667,0.839039
671,0.493167,0.838046
672,0.497083,0.839556
673,0.496458,0.839135
674,0.497792,0.839459
675,0.495125,0.839587
676,0.491833,0.839822
677,0.496375,0.840249
678,0.489458,0.838986
679,0.491292,0.838575
680,0.499875,0.838881
681,0.493958,0.839458
682,0.495125,0.839479
683,0.490625,0.839602
684,0.4975,0.838723
685,0.493625,0.839125
686,0.491333,0.839398
687,0.490042,0.838789
688,0.486792,0.8376
689,0.487958,0.839155
690,0.494417,0.839256
691,0.488708,0.838987
692,0.492625,0.838672
693,0.492417,0.839165
694,0.493292,0.839325
695,0.49125,0.838447
696,0.494667,0.83928
697,0.486583,0.839149
698,0.490958,0.838693
699,0.493667,0.837696
700,0.494667,0.838666
701,0.495792,0.838123
702,0.49525,0.83816
703,0.494208,0.837301
704,0.495083,0.83672
705,0.49625,0.836911
706,0.497042,0.837803
707,0.492625,0.83852
708,0.499458,0.836808
709,0.497958,0.837524
710,0.492167,0.837163
711,0.495583,0.837224
712,0.491417,0.838671
713,0.491458,0.83798
714,0.487667,0.83903
715,0.49175,0.83927
716,0.494583,0.838536
717,0.491292,0.838238
718,0.490542,0.839065
719,0.491083,0.838721
720,0.496958,0.838889
721,0.500125,0.838409
722,0.493625,0.838511
723,0.491958,0.838915
724,0.494292,0.839295
725,0.490167,0.838914
726,0.493208,0.840221
727,0.490333,0.83951
728,0.494583,0.83883
729,0.48925,0.838172
730,0.493292,0.838633
731,0.491208,0.839134
732,0.486792,0.838979
733,0.4955,0.838552
734,0.49175,0.839121
735,0.499667,0.839656
736,0.492125,0.839724
737,0.493208,0.838404
738,0.489458,0.838594
739,0.494208,0.839621
740,0.496208,0.839293
741,0.496333,0.838517
742,0.489208,0.838286
743,0.495208,0.838723
744,0.49625,0.839036
745,0.4915,0.838551
746,0.494542,0.839393
747,0.488875,0.840293
748,0.492917,0.839761
749,0.495458,0.838867
750,0.495208,0.839606
751,0.496167,0.83784
752,0.492833,0.838108
753,0.487458,0.839364
754,0.490833,0.83829
755,0.492583,0.83921
756,0.49,0.839201
757,0.495208,0.839702
758,0.495042,0.840209
759,0.491417,0.8409
760,0.488333,0.840349
761,0.489875,0.841544
762,0.493667,0.84127
763,0.49475,0.841238
764,0.494167,0.841753
765,0.489458,0.840889
766,0.493625,0.840683
767,0.493208,0.840417
768,0.493333,0.840176
769,0.486542,0.841054
770,0.497458,0.84081
771,0.493917,0.839969
772,0.490417,0.839219
773,0.492083,0.839293
774,0.492167,0.840348
775,0.494125,0.839147
776,0.491042,0.839007
777,0.497542,0.839292
778,0.49425,0.839191
779,0.483417,0.839187
780,0.493417,0.840651
781,0.488833,0.839595
782,0.494417,0.840908
783,0.487667,0.84129
784,0.49675,0.840728
785,0.490833,0.840164
786,0.494417,0.839473
787,0.494917,0.840157
788,0.492042,0.839727
789,0.488458,0.840465
790,0.4975,0.839208
791,0.49575,0.83853
792,0.487833,0.839661
793,0.490292,0.839389
794,0.493958,0.840336
795,0.492583,0.841223
796,0.493042,0.84038
797,0.491792,0.84032
798,0.491625,0.838852
799,0.485667,0.840046
800,0.494792,0.838941
801,0.495125,0.837081
802,0.487875,0.838079
803,0.491833,0.839021
804,0.497167,0.838889
805,0.4935,0.838163
806,0.492875,0.837953
807,0.493667,0.838552
808,0.49,0.840109
809,0.491417,0.83954
810,0.49425,0.839454
811,0.491083,0.83903
812,0.486625,0.83885
813,0.48525,0.838136
814,0.495875,0.83776
815,0.48675,0.837956
816,0.495,0.838979
817,0.495167,0.838174
818,0.492583,0.837497
819,0.495083,0.83656
820,0.495125,0.838054
821,0.494208,0.838986
822,0.492667,0.839179
823,0.493667,0.840591
824,0.49075,0.839284
825,0.489667,0.839243
826,0.492042,0.839703
827,0.492917,0.840341
828,0.495792,0.840597
829,0.488875,0.839883
830,0.495708,0.840005
831,0.496875,0.839525
832,0.490917,0.839547
833,0.488042,0.839343
834,0.493667,0.838436
835,0.488542,0.838204
836,0.490875,0.839237
837,0.488792,0.839284
838,0.486667,0.839989
839,0.492,0.840512
840,0.483792,0.840969
841,0.490083,0.840613
842,0.493792,0.840616
843,0.494,0.841253
844,0.493583,0.841821
845,0.488458,0.841799
846,0.49625,0.839774
847,0.487083,0.838696
848,0.494708,0.838413
849,0.488833,0.838774
850,0.492,0.837935
851,0.492333,0.837376
