R,T_window,V,err,chi2,dof,chi2_dof
1,"3,4,5",0.145041025746866,0.00010918150186770112,0.4108146081773033,2,0.20540730408865165
2,"3,4,5",0.2351442806224853,0.00026808191283688246,0.9622067816723564,2,0.4811033908361782
3,"3,4,5",0.3054476929045267,0.00045743105631174206,1.8384937072129,2,0.91924685360645
4,"3,4,5",0.3689536018860563,0.0008404622375740998,0.6976336942408405,2,0.34881684712042027
5,"3,4,5",0.427763734072476,0.0014045750494723695,0.8639913319575263,2,0.43199566597876315
