sweep,acceptance,plaquette
1,0.387459,0.960035
2,0.432569,0.931386
3,0.453575,0.911005
4,0.467944,0.896431
5,0.4681,0.885378
6,0.47768,0.877751
7,0.486508,0.870293
8,0.481749,0.865555
9,0.485099,0.862168
10,0.486289,0.85955
11,0.483909,0.856809
12,0.49017,0.854801
13,0.493363,0.85332
14,0.487729,0.850888
15,0.491266,0.850096
16,0.492268,0.849909
17,0.488386,0.848681
18,0.489106,0.847451
19,0.488699,0.846464
20,0.489262,0.844642
21,0.49543,0.844644
22,0.497245,0.844314
23,0.490984,0.843222
24,0.490358,0.84311
25,0.493144,0.842568
26,0.491016,0.841019
27,0.493332,0.841071
28,0.48945,0.841017
29,0.49424,0.842105
30,0.494991,0.841958
31,0.490233,0.841468
32,0.490483,0.841689
33,0.49064,0.842012
34,0.49136,0.841601
35,0.487478,0.840846
36,0.490702,0.840363
37,0.492956,0.84076
38,0.494522,0.840823
39,0.492925,0.84052
40,0.49136,0.841348
41,0.491892,0.840809
42,0.495523,0.840298
43,0.489889,0.840558
44,0.491861,0.839871
45,0.489356,0.839796
46,0.494303,0.840064
47,0.489043,0.840376
48,0.492299,0.840463
49,0.493176,0.840146
50,0.494177,0.840105
51,0.491516,0.839765
52,0.489043,0.839849
53,0.494365,0.839813
54,0.489857,0.840376
55,0.493332,0.841042
56,0.495649,0.839727
57,0.493113,0.839268
58,0.493019,0.839752
59,0.487353,0.839945
60,0.491109,0.839904
61,0.494709,0.84055
62,0.489325,0.84067
63,0.49496,0.84077
64,0.483753,0.841271
65,0.48992,0.840733
66,0.489826,0.841143
67,0.491141,0.841415
68,0.494115,0.840132
69,0.493958,0.841247
70,0.48945,0.841137
71,0.489231,0.840665
72,0.495617,0.840654
73,0.488636,0.840603
74,0.487322,0.840476
75,0.493457,0.841211
76,0.497308,0.841421
77,0.492142,0.841018
78,0.493645,0.839656
79,0.493395,0.839502
80,0.494303,0.839697
81,0.488824,0.838809
82,0.49208,0.840023
83,0.488449,0.84013
84,0.492769,0.839346
85,0.494209,0.839523
86,0.490546,0.839353
87,0.496619,0.839181
88,0.495555,0.839228
89,0.493833,0.839553
90,0.496807,0.839378
91,0.492737,0.839783
92,0.496369,0.840348
93,0.496494,0.841159
94,0.492612,0.840022
95,0.493645,0.838939
96,0.492268,0.839944
97,0.493395,0.840929
98,0.491986,0.840618
99,0.493332,0.83895
100,0.496118,0.839035
101,0.491579,0.838229
102,0.486915,0.838662
103,0.489325,0.838828
104,0.492142,0.838949
105,0.490014,0.838896
106,0.494021,0.839015
107,0.488793,0.838378
108,0.49089,0.838583
109,0.495116,0.839074
110,0.489262,0.839112
111,0.492049,0.839247
112,0.491642,0.840704
113,0.497715,0.840188
114,0.490922,0.840755
115,0.487165,0.841283
116,0.487415,0.840367
117,0.490765,0.840925
118,0.491892,0.841194
119,0.501158,0.842138
120,0.494177,0.841935
121,0.494052,0.841821
122,0.494115,0.841598
123,0.491422,0.841994
124,0.492706,0.840937
125,0.496306,0.839886
126,0.491516,0.839588
127,0.492299,0.840054
128,0.49377,0.839969
129,0.494146,0.839447
130,0.49352,0.839557
131,0.486977,0.83939
132,0.493927,0.839108
133,0.493207,0.839437
134,0.488323,0.839648
135,0.493019,0.839829
136,0.490233,0.839181
137,0.491986,0.839784
138,0.494553,0.839631
139,0.495461,0.840134
140,0.492111,0.839843
141,0.487322,0.840379
142,0.496619,0.840507
143,0.493332,0.840658
144,0.491203,0.839851
145,0.498122,0.840464
146,0.493676,0.840749
147,0.491736,0.840362
148,0.49208,0.84027
149,0.492894,0.841333
150,0.492205,0.840414
151,0.494929,0.839368
152,0.49352,0.839137
153,0.491986,0.839401
154,0.490327,0.840014
155,0.493802,0.839272
156,0.491736,0.839615
157,0.492142,0.839401
158,0.494271,0.839593
159,0.487854,0.839763
160,0.494553,0.839287
161,0.496369,0.838093
162,0.493269,0.838564
163,0.493457,0.838667
164,0.492142,0.838587
165,0.494647,0.838986
166,0.49377,0.839667
167,0.488699,0.840031
168,0.493708,0.839148
169,0.492549,0.83916
170,0.492863,0.839988
171,0.489889,0.840503
172,0.489231,0.84021
173,0.490076,0.84047
174,0.488668,0.840576
175,0.491986,0.84078
176,0.496807,0.839763
177,0.4892,0.839787
178,0.491203,0.839963
179,0.491078,0.839643
180,0.498873,0.839601
181,0.494083,0.839402
182,0.493551,0.838852
183,0.493958,0.839437
184,0.492424,0.840169
185,0.487697,0.840106
186,0.493989,0.840268
187,0.489826,0.840431
188,0.499562,0.839202
189,0.490389,0.84025
190,0.493833,0.840067
191,0.492362,0.839567
192,0.489889,0.840306
193,0.494459,0.840417
194,0.492487,0.840026
195,0.488292,0.839674
196,0.493958,0.840457
197,0.491016,0.840249
198,0.49161,0.840627
199,0.497026,0.83989
200,0.492769,0.840053
201,0.491642,0.840228
202,0.494741,0.840471
203,0.492925,0.839826
204,0.492675,0.840403
205,0.493833,0.840124
206,0.487102,0.840019
207,0.493896,0.839205
208,0.496963,0.839593
209,0.488198,0.839817
210,0.494835,0.841027
211,0.495805,0.83976
212,0.489169,0.838557
213,0.491329,0.839034
214,0.494365,0.8387
215,0.494553,0.837667
216,0.49208,0.838434
217,0.493676,0.838636
218,0.487822,0.838776
219,0.493238,0.83783
220,0.49665,0.838516
221,0.491235,0.839104
222,0.494835,0.838897
223,0.491141,0.838593
224,0.492831,0.83879
225,0.494584,0.838904
226,0.487697,0.838308
227,0.491016,0.838563
228,0.496556,0.838624
229,0.495743,0.838076
230,0.494709,0.83903
231,0.497777,0.838147
232,0.490421,0.839597
233,0.493269,0.839803
234,0.490922,0.840184
235,0.489106,0.83989
236,0.49377,0.840108
237,0.493113,0.839785
238,0.496024,0.839746
239,0.493896,0.839423
240,0.492581,0.8389
241,0.487916,0.838417
242,0.495398,0.838263
243,0.492925,0.837817
244,0.487572,0.837838
245,0.491861,0.837407
246,0.49424,0.837819
247,0.490953,0.838172
248,0.486101,0.838278
249,0.495649,0.838503
250,0.49521,0.83832
251,0.493301,0.838304
252,0.492706,0.838067
253,0.493489,0.838856
254,0.490765,0.837841
255,0.497715,0.838784
256,0.489826,0.839037
257,0.491109,0.839109
258,0.49424,0.840728
259,0.487979,0.840164
260,0.493958,0.839472
261,0.491235,0.839129
262,0.491986,0.839136
263,0.49161,0.838811
264,0.495617,0.838763
265,0.489982,0.838895
266,0.493676,0.838806
267,0.496682,0.838765
268,0.490045,0.838234
269,0.488386,0.838107
270,0.493082,0.837897
271,0.489795,0.837619
272,0.492487,0.838154
273,0.492675,0.837464
274,0.492393,0.837267
275,0.489763,0.837495
276,0.494897,0.83749
277,0.496556,0.837694
278,0.492581,0.839069
279,0.494866,0.838556
280,0.493989,0.839258
281,0.495774,0.839438
282,0.495555,0.839717
283,0.489106,0.840079
284,0.494741,0.84094
285,0.492549,0.840363
286,0.487979,0.839859
287,0.497996,0.839515
288,0.492174,0.839214
289,0.492174,0.838832
290,0.491861,0.839476
291,0.489669,0.838945
292,0.492017,0.839448
293,0.492518,0.840292
294,0.491266,0.841115
295,0.495523,0.8402
296,0.492174,0.839923
297,0.491829,0.84012
298,0.499468,0.839548
299,0.491391,0.839191
300,0.492706,0.838453
301,0.487259,0.838385
302,0.496494,0.838541
303,0.49568,0.838716
304,0.494584,0.839629
305,0.495304,0.839541
306,0.492549,0.839254
307,0.48873,0.838929
308,0.490483,0.838866
309,0.487102,0.839284
310,0.495868,0.838841
311,0.493301,0.838818
312,0.490233,0.839524
313,0.490264,0.839902
314,0.49449,0.838651
315,0.495398,0.839243
316,0.489075,0.839007
317,0.493551,0.838635
318,0.49593,0.83968
319,0.491736,0.840274
320,0.489231,0.840543
321,0.48992,0.840895
322,0.493958,0.840045
323,0.490264,0.838874
324,0.495085,0.838812
325,0.497402,0.838551
326,0.492393,0.838718
327,0.496118,0.840072
328,0.493802,0.840295
329,0.492111,0.840712
330,0.4928,0.840839
331,0.49305,0.841141
332,0.492831,0.841937
333,0.492549,0.840866
334,0.489356,0.840732
335,0.493395,0.840047
336,0.490796,0.839266
337,0.489795,0.84064
338,0.493833,0.839816
339,0.493708,0.840864
340,0.493614,0.840364
341,0.488949,0.83906
342,0.491548,0.84006
343,0.492174,0.839477
344,0.49615,0.839269
345,0.493864,0.839949
346,0.489513,0.839662
347,0.499155,0.83941
348,0.496275,0.838737
349,0.49208,0.839327
350,0.494271,0.839325
351,0.493802,0.838891
352,0.491704,0.838765
353,0.494209,0.839348
354,0.491266,0.84024
355,0.495336,0.840813
356,0.493426,0.839965
357,0.48992,0.839469
358,0.491861,0.840209
359,0.492549,0.8399
360,0.493833,0.839976
361,0.49377,0.84018
362,0.496588,0.84021
363,0.495711,0.840122
364,0.488887,0.840112
365,0.493896,0.840191
366,0.494522,0.839687
367,0.489889,0.839063
368,0.493739,0.838792
369,0.491704,0.838522
370,0.495273,0.837886
371,0.494209,0.838368
372,0.491454,0.837684
373,0.491172,0.838073
374,0.492737,0.838328
375,0.487822,0.837372
376,0.497402,0.837402
377,0.489763,0.837901
378,0.489795,0.838761
379,0.495523,0.838217
380,0.48848,0.839461
381,0.490922,0.83978
382,0.493301,0.838653
383,0.488824,0.838985
384,0.495242,0.839752
385,0.499217,0.83923
386,0.490796,0.838467
387,0.495054,0.838473
388,0.496494,0.838354
389,0.490233,0.838614
390,0.491078,0.839211
391,0.493708,0.839311
392,0.491485,0.838824
393,0.489732,0.839032
394,0.489169,0.838895
395,0.489513,0.839244
396,0.492424,0.838016
397,0.494522,0.837649
398,0.496024,0.838403
399,0.493332,0.838389
400,0.492362,0.838787
401,0.489482,0.839459
402,0.491109,0.839634
403,0.49136,0.839773
404,0.493395,0.83954
405,0.49161,0.839596
406,0.491736,0.839806
407,0.490358,0.840207
408,0.495085,0.840675
409,0.492049,0.840879
410,0.495711,0.841422
411,0.487854,0.8413
412,0.494303,0.841777
413,0.491047,0.841942
414,0.489763,0.841708
415,0.492111,0.840583
416,0.491235,0.840056
417,0.492581,0.839705
418,0.49161,0.839915
419,0.492737,0.84004
420,0.488073,0.839485
421,0.491266,0.839277
422,0.495179,0.838781
423,0.497339,0.839453
424,0.495586,0.839538
425,0.48873,0.839743
426,0.494553,0.840076
427,0.496932,0.839802
428,0.49737,0.839184
429,0.494334,0.83879
430,0.492643,0.838263
431,0.494209,0.83852
432,0.495649,0.839127
433,0.49593,0.839653
434,0.49568,0.839961
435,0.490702,0.839548
436,0.502223,0.838977
437,0.494146,0.837855
438,0.492863,0.838495
439,0.489576,0.839433
440,0.491109,0.839402
441,0.491923,0.838684
442,0.490765,0.837555
443,0.492299,0.837957
444,0.491673,0.83884
445,0.490922,0.83837
446,0.49377,0.838436
447,0.491109,0.838373
448,0.492549,0.838448
449,0.492988,0.837761
450,0.491736,0.83721
451,0.489982,0.837114
452,0.497276,0.837992
453,0.490389,0.837779
454,0.494522,0.838239
455,0.491767,0.837948
456,0.496181,0.837859
457,0.49712,0.838374
458,0.4964,0.837797
459,0.495179,0.837116
460,0.493269,0.837809
461,0.495993,0.838192
462,0.498435,0.838324
463,0.498247,0.838738
464,0.491329,0.839101
465,0.493864,0.838535
466,0.493489,0.838914
467,0.49161,0.839086
468,0.494396,0.838528
469,0.491485,0.838581
470,0.493864,0.838405
471,0.490452,0.838662
472,0.491516,0.839057
473,0.488668,0.838484
474,0.494897,0.838449
475,0.489857,0.838657
476,0.494146,0.837625
477,0.492518,0.837863
478,0.491047,0.837075
479,0.491078,0.837816
480,0.493269,0.838697
481,0.498028,0.839179
482,0.491767,0.840032
483,0.493958,0.840945
484,0.490076,0.840735
485,0.491047,0.840498
486,0.490859,0.839925
487,0.491329,0.839537
488,0.493896,0.840281
489,0.492737,0.839978
490,0.490765,0.839379
491,0.49449,0.839531
492,0.493301,0.840586
493,0.5,0.840861
494,0.491454,0.841008
495,0.495085,0.840268
496,0.494709,0.840222
497,0.491516,0.839623
498,0.495085,0.840095
499,0.491642,0.840738
500,0.493864,0.840247
501,0.492956,0.839984
502,0.49496,0.838845
503,0.489356,0.839631
504,0.495054,0.839665
505,0.500157,0.839684
506,0.495523,0.839751
507,0.489294,0.839827
508,0.492487,0.840028
509,0.494709,0.840568
510,0.494428,0.840851
511,0.48801,0.840026
512,0.490828,0.839755
513,0.498967,0.839971
514,0.490358,0.839461
515,0.490452,0.838917
516,0.496118,0.838613
517,0.489356,0.83808
518,0.492894,0.838878
519,0.494835,0.838476
520,0.493301,0.837888
521,0.491485,0.838988
522,0.489075,0.839502
523,0.489889,0.839378
524,0.49233,0.83929
525,0.492549,0.838891
526,0.492268,0.839483
527,0.491673,0.839549
528,0.496619,0.839582
529,0.490765,0.838944
530,0.490671,0.839013
531,0.493989,0.839455
532,0.492205,0.839023
533,0.49424,0.838317
534,0.494897,0.838707
535,0.497433,0.839605
536,0.491704,0.839658
537,0.497214,0.840057
538,0.492549,0.840044
539,0.489075,0.839856
540,0.494115,0.83965
541,0.492549,0.839349
542,0.488229,0.838701
543,0.49305,0.838404
544,0.491329,0.838885
545,0.491736,0.838134
546,0.494334,0.838265
547,0.491391,0.838456
548,0.489732,0.838064
549,0.496431,0.838466
550,0.490076,0.838803
551,0.49305,0.838247
552,0.489231,0.838399
553,0.493802,0.838637
554,0.496619,0.838742
555,0.493489,0.839747
556,0.49496,0.839375
557,0.49377,0.839134
558,0.49233,0.839682
559,0.489482,0.839019
560,0.491548,0.839096
561,0.489043,0.838906
562,0.491986,0.838184
563,0.4892,0.839323
564,0.495555,0.839155
565,0.494929,0.839661
566,0.492424,0.840807
567,0.488386,0.841358
568,0.489982,0.841144
569,0.492831,0.841472
570,0.492988,0.840115
571,0.494083,0.840604
572,0.494396,0.84056
573,0.491736,0.840243
574,0.491422,0.840779
575,0.493739,0.8397
576,0.487948,0.839049
577,0.492299,0.839702
578,0.492925,0.840696
579,0.500657,0.839726
580,0.495805,0.839598
581,0.493082,0.840076
582,0.489325,0.840365
583,0.496744,0.839953
584,0.495586,0.839639
585,0.490953,0.839829
586,0.486163,0.840487
587,0.492487,0.841208
588,0.491297,0.841295
589,0.495179,0.840126
590,0.491955,0.840398
591,0.493019,0.839225
592,0.493238,0.839219
593,0.490984,0.838507
594,0.489638,0.838316
595,0.494021,0.837389
596,0.48992,0.837086
597,0.493332,0.837883
598,0.488542,0.838457
599,0.491078,0.837682
600,0.491485,0.837938
601,0.494929,0.837744
602,0.497715,0.838329
603,0.489732,0.8382
604,0.499468,0.837952
605,0.493332,0.837785
606,0.498466,0.837185
607,0.494866,0.837542
608,0.492894,0.837408
609,0.493614,0.838068
610,0.490452,0.837888
611,0.493113,0.837618
612,0.494803,0.837639
613,0.495993,0.838203
614,0.491485,0.838919
615,0.494428,0.8386
616,0.496556,0.839277
617,0.485506,0.837772
618,0.493238,0.83869
619,0.486727,0.84001
