sweep,R,T,W
4040,1,1,0.838934
4040,1,2,0.72128
4040,1,3,0.622943
4040,1,4,0.540834
4040,1,5,0.468998
4040,1,6,0.4076
4040,2,1,0.719661
4040,2,2,0.557257
4040,2,3,0.43711
4040,2,4,0.3499
4040,2,5,0.281285
4040,2,6,0.224023
4040,3,1,0.621621
4040,3,2,0.441363
4040,3,3,0.323487
4040,3,4,0.246239
4040,3,5,0.189094
4040,3,6,0.143046
4040,4,1,0.538577
4040,4,2,0.35228
4040,4,3,0.241941
4040,4,4,0.176317
4040,4,5,0.127538
4040,4,6,0.0913563
4040,5,1,0.467317
4040,5,2,0.284041
4040,5,3,0.184832
4040,5,4,0.128115
4040,5,5,0.0895055
4040,5,6,0.0592457
4080,1,1,0.838982
4080,1,2,0.721097
4080,1,3,0.624348
4080,1,4,0.542733
4080,1,5,0.469676
4080,1,6,0.405762
4080,2,1,0.721922
4080,2,2,0.558279
4080,2,3,0.442875
4080,2,4,0.352956
4080,2,5,0.27882
4080,2,6,0.219137
4080,3,1,0.624735
4080,3,2,0.439624
4080,3,3,0.321704
4080,3,4,0.238276
4080,3,5,0.178516
4080,3,6,0.13084
4080,4,1,0.541061
4080,4,2,0.347565
4080,4,3,0.238543
4080,4,4,0.16937
4080,4,5,0.121879
4080,4,6,0.0878237
4080,5,1,0.468431
4080,5,2,0.276702
4080,5,3,0.179244
4080,5,4,0.121592
4080,5,5,0.0854747
4080,5,6,0.0604107
4120,1,1,0.838164
4120,1,2,0.721523
4120,1,3,0.624203
4120,1,4,0.541865
4120,1,5,0.47108
4120,1,6,0.408831
4120,2,1,0.719986
4120,2,2,0.555559
4120,2,3,0.440163
4120,2,4,0.350146
4120,2,5,0.282774
4120,2,6,0.225223
4120,3,1,0.623717
4120,3,2,0.437001
4120,3,3,0.323672
4120,3,4,0.240071
4120,3,5,0.182367
4120,3,6,0.138255
4120,4,1,0.540151
4120,4,2,0.345345
4120,4,3,0.240168
4120,4,4,0.171534
4120,4,5,0.123786
4120,4,6,0.087152
4120,5,1,0.46848
4120,5,2,0.273511
4120,5,3,0.17857
4120,5,4,0.121802
4120,5,5,0.0856318
4120,5,6,0.0570842
4160,1,1,0.837746
4160,1,2,0.719431
4160,1,3,0.622055
4160,1,4,0.537175
4160,1,5,0.463542
4160,1,6,0.399731
4160,2,1,0.720815
4160,2,2,0.554963
4160,2,3,0.436765
4160,2,4,0.344831
4160,2,5,0.272256
4160,2,6,0.21595
4160,3,1,0.622512
4160,3,2,0.434558
4160,3,3,0.315745
4160,3,4,0.231123
4160,3,5,0.169077
4160,3,6,0.123683
4160,4,1,0.538998
4160,4,2,0.34557
4160,4,3,0.234763
4160,4,4,0.162408
4160,4,5,0.109888
4160,4,6,0.0756006
4160,5,1,0.46346
4160,5,2,0.271627
4160,5,3,0.173244
4160,5,4,0.115986
4160,5,5,0.0739345
4160,5,6,0.0480075
4200,1,1,0.838738
4200,1,2,0.720669
4200,1,3,0.622402
4200,1,4,0.538557
4200,1,5,0.466099
4200,1,6,0.403349
4200,2,1,0.71938
4200,2,2,0.551283
4200,2,3,0.432866
4200,2,4,0.339334
4200,2,5,0.26568
4200,2,6,0.208916
4200,3,1,0.620239
4200,3,2,0.428368
4200,3,3,0.310973
4200,3,4,0.224154
4200,3,5,0.161668
4200,3,6,0.117263
4200,4,1,0.53602
4200,4,2,0.334675
4200,4,3,0.227254
4200,4,4,0.152036
4200,4,5,0.10587
4200,4,6,0.0708726
4200,5,1,0.462202
4200,5,2,0.262566
4200,5,3,0.166289
4200,5,4,0.102048
4200,5,5,0.0651201
4200,5,6,0.0406903
4240,1,1,0.839499
4240,1,2,0.72071
4240,1,3,0.623802
4240,1,4,0.540921
4240,1,5,0.465911
4240,1,6,0.401854
4240,2,1,0.723762
4240,2,2,0.558167
4240,2,3,0.438589
4240,2,4,0.345629
4240,2,5,0.272082
4240,2,6,0.214034
4240,3,1,0.626262
4240,3,2,0.439354
4240,3,3,0.320104
4240,3,4,0.237295
4240,3,5,0.17238
4240,3,6,0.122799
4240,4,1,0.542017
4240,4,2,0.347628
4240,4,3,0.23645
4240,4,4,0.163629
4240,4,5,0.10805
4240,4,6,0.0747888
4240,5,1,0.469495
4240,5,2,0.276783
4240,5,3,0.175064
4240,5,4,0.117901
4240,5,5,0.0705683
4240,5,6,0.0420738
4280,1,1,0.838186
4280,1,2,0.718895
4280,1,3,0.619948
4280,1,4,0.534144
4280,1,5,0.462364
4280,1,6,0.399264
4280,2,1,0.718637
4280,2,2,0.554825
4280,2,3,0.435859
4280,2,4,0.342975
4280,2,5,0.272601
4280,2,6,0.217318
4280,3,1,0.618388
4280,3,2,0.435837
4280,3,3,0.315276
4280,3,4,0.229134
4280,3,5,0.168523
4280,3,6,0.122749
4280,4,1,0.532741
4280,4,2,0.342829
4280,4,3,0.229119
4280,4,4,0.154576
4280,4,5,0.105463
4280,4,6,0.0694935
4280,5,1,0.457166
4280,5,2,0.267741
4280,5,3,0.166269
4280,5,4,0.105684
4280,5,5,0.0659602
4280,5,6,0.0425886
4320,1,1,0.838013
4320,1,2,0.719535
4320,1,3,0.622374
4320,1,4,0.536736
4320,1,5,0.462539
4320,1,6,0.400009
4320,2,1,0.71736
4320,2,2,0.552762
4320,2,3,0.435879
4320,2,4,0.342295
4320,2,5,0.270917
4320,2,6,0.212552
4320,3,1,0.61743
4320,3,2,0.433641
4320,3,3,0.317153
4320,3,4,0.232125
4320,3,5,0.173942
4320,3,6,0.127669
4320,4,1,0.53248
4320,4,2,0.342976
4320,4,3,0.232
4320,4,4,0.158016
4320,4,5,0.109179
4320,4,6,0.0753048
4320,5,1,0.45992
4320,5,2,0.270827
4320,5,3,0.170729
4320,5,4,0.10978
4320,5,5,0.0668089
4320,5,6,0.0357964
4360,1,1,0.839311
4360,1,2,0.720561
4360,1,3,0.619346
4360,1,4,0.532681
4360,1,5,0.460487
4360,1,6,0.396985
4360,2,1,0.721187
4360,2,2,0.555395
4360,2,3,0.429601
4360,2,4,0.334734
4360,2,5,0.263133
4360,2,6,0.20583
4360,3,1,0.623219
4360,3,2,0.436114
4360,3,3,0.309464
4360,3,4,0.222637
4360,3,5,0.161061
4360,3,6,0.115346
4360,4,1,0.540696
4360,4,2,0.345979
4360,4,3,0.227199
4360,4,4,0.153893
4360,4,5,0.101194
4360,4,6,0.0668931
4360,5,1,0.469933
4360,5,2,0.275033
4360,5,3,0.169727
4360,5,4,0.106814
4360,5,5,0.0663742
4360,5,6,0.0427758
4400,1,1,0.839777
4400,1,2,0.722045
4400,1,3,0.624266
4400,1,4,0.540895
4400,1,5,0.469272
4400,1,6,0.407246
4400,2,1,0.722552
4400,2,2,0.558679
4400,2,3,0.440608
4400,2,4,0.347601
4400,2,5,0.274792
4400,2,6,0.217973
4400,3,1,0.624571
4400,3,2,0.439683
4400,3,3,0.31944
4400,3,4,0.231534
4400,3,5,0.168952
4400,3,6,0.125917
4400,4,1,0.540894
4400,4,2,0.348306
4400,4,3,0.232464
4400,4,4,0.155996
4400,4,5,0.10466
4400,4,6,0.072891
4400,5,1,0.468849
4400,5,2,0.275892
4400,5,3,0.16703
4400,5,4,0.0991402
4400,5,5,0.0652007
4400,5,6,0.0390882
4440,1,1,0.839782
4440,1,2,0.722636
4440,1,3,0.625333
4440,1,4,0.541897
4440,1,5,0.469023
4440,1,6,0.404939
4440,2,1,0.723041
4440,2,2,0.561364
4440,2,3,0.443041
4440,2,4,0.352539
4440,2,5,0.281004
4440,2,6,0.225485
4440,3,1,0.624534
4440,3,2,0.440355
4440,3,3,0.321812
4440,3,4,0.237368
4440,3,5,0.176807
4440,3,6,0.131474
4440,4,1,0.539727
4440,4,2,0.3445
4440,4,3,0.232754
4440,4,4,0.159375
4440,4,5,0.111357
4440,4,6,0.0786333
4440,5,1,0.466764
4440,5,2,0.273166
4440,5,3,0.174019
4440,5,4,0.112481
4440,5,5,0.0743479
4440,5,6,0.0506274
4480,1,1,0.840134
4480,1,2,0.723249
4480,1,3,0.628275
4480,1,4,0.547914
4480,1,5,0.47818
4480,1,6,0.417341
4480,2,1,0.722544
4480,2,2,0.558997
4480,2,3,0.444047
4480,2,4,0.355655
4480,2,5,0.2828
4480,2,6,0.225207
4480,3,1,0.625555
4480,3,2,0.439608
4480,3,3,0.324368
4480,3,4,0.243042
4480,3,5,0.179147
4480,3,6,0.133267
4480,4,1,0.543503
4480,4,2,0.348996
4480,4,3,0.2412
4480,4,4,0.169756
4480,4,5,0.115994
4480,4,6,0.079205
4480,5,1,0.471368
4480,5,2,0.277348
4480,5,3,0.175416
4480,5,4,0.112609
4480,5,5,0.0707181
4480,5,6,0.0436482
4520,1,1,0.839326
4520,1,2,0.719713
4520,1,3,0.618328
4520,1,4,0.533496
4520,1,5,0.460324
4520,1,6,0.397497
4520,2,1,0.722005
4520,2,2,0.555315
4520,2,3,0.429515
4520,2,4,0.335308
4520,2,5,0.261033
4520,2,6,0.204638
4520,3,1,0.625542
4520,3,2,0.440834
4520,3,3,0.318417
4520,3,4,0.23447
4520,3,5,0.174958
4520,3,6,0.132464
4520,4,1,0.542594
4520,4,2,0.351802
4520,4,3,0.239141
4520,4,4,0.163889
4520,4,5,0.119326
4520,4,6,0.0839881
4520,5,1,0.471725
4520,5,2,0.279064
4520,5,3,0.177599
4520,5,4,0.113898
4520,5,5,0.0789012
4520,5,6,0.0554608
4560,1,1,0.839626
4560,1,2,0.722067
4560,1,3,0.623495
4560,1,4,0.539465
4560,1,5,0.466884
4560,1,6,0.404718
4560,2,1,0.723035
4560,2,2,0.557803
4560,2,3,0.436406
4560,2,4,0.344197
4560,2,5,0.269509
4560,2,6,0.212214
4560,3,1,0.624604
4560,3,2,0.435931
4560,3,3,0.311497
4560,3,4,0.226733
4560,3,5,0.164702
4560,3,6,0.118828
4560,4,1,0.539668
4560,4,2,0.340492
4560,4,3,0.227181
4560,4,4,0.156119
4560,4,5,0.108718
4560,4,6,0.0754994
4560,5,1,0.467414
4560,5,2,0.263871
4560,5,3,0.162086
4560,5,4,0.105068
4560,5,5,0.0691106
4560,5,6,0.0415176
4600,1,1,0.83848
4600,1,2,0.721376
4600,1,3,0.622008
4600,1,4,0.534507
4600,1,5,0.458994
4600,1,6,0.395149
4600,2,1,0.722384
4600,2,2,0.558523
4600,2,3,0.437365
