sweep,R,T,W
4320,4,5,0.149333
4320,4,6,0.10364
4320,5,1,0.642893
4320,5,2,0.411519
4320,5,3,0.263556
4320,5,4,0.164818
4320,5,5,0.101411
4320,5,6,0.062492
4360,1,1,0.863874
4360,1,2,0.74645
4360,1,3,0.642619
4360,1,4,0.553121
4360,1,5,0.478369
4360,1,6,0.413405
4360,2,1,0.788575
4360,2,2,0.621134
4360,2,3,0.484852
4360,2,4,0.380038
4360,2,5,0.299567
4360,2,6,0.237355
4360,3,1,0.735196
4360,3,2,0.537858
4360,3,3,0.386947
4360,3,4,0.280793
4360,3,5,0.204954
4360,3,6,0.14896
4360,4,1,0.690425
4360,4,2,0.476133
4360,4,3,0.321077
4360,4,4,0.2198
4360,4,5,0.149636
4360,4,6,0.100426
4360,5,1,0.651313
4360,5,2,0.424249
4360,5,3,0.271016
4360,5,4,0.175652
4360,5,5,0.113336
4360,5,6,0.0690223
4400,1,1,0.864143
4400,1,2,0.746977
4400,1,3,0.646793
4400,1,4,0.560396
4400,1,5,0.486765
4400,1,6,0.422196
4400,2,1,0.789716
4400,2,2,0.623533
4400,2,3,0.493813
4400,2,4,0.38875
4400,2,5,0.306858
4400,2,6,0.242484
4400,3,1,0.734345
4400,3,2,0.538415
4400,3,3,0.394709
4400,3,4,0.285379
4400,3,5,0.208383
4400,3,6,0.151965
4400,4,1,0.68828
4400,4,2,0.472066
4400,4,3,0.321407
4400,4,4,0.215888
4400,4,5,0.147501
4400,4,6,0.102255
4400,5,1,0.646144
4400,5,2,0.416562
4400,5,3,0.263013
4400,5,4,0.164628
4400,5,5,0.104138
4400,5,6,0.0648403
4440,1,1,0.865313
4440,1,2,0.75008
4440,1,3,0.650392
4440,1,4,0.56336
4440,1,5,0.487298
4440,1,6,0.420581
4440,2,1,0.792066
4440,2,2,0.630637
4440,2,3,0.503371
4440,2,4,0.399651
4440,2,5,0.318429
4440,2,6,0.25439
4440,3,1,0.738473
4440,3,2,0.548191
4440,3,3,0.408919
4440,3,4,0.30116
4440,3,5,0.224019
4440,3,6,0.165332
4440,4,1,0.693888
4440,4,2,0.480919
4440,4,3,0.336252
4440,4,4,0.231244
4440,4,5,0.158794
4440,4,6,0.107726
4440,5,1,0.653646
4440,5,2,0.428258
4440,5,3,0.286132
4440,5,4,0.18869
4440,5,5,0.121689
4440,5,6,0.0753653
4480,1,1,0.864696
4480,1,2,0.749542
4480,1,3,0.652465
4480,1,4,0.568242
4480,1,5,0.495317
4480,1,6,0.432032
4480,2,1,0.789859
4480,2,2,0.627771
4480,2,3,0.501298
4480,2,4,0.3994
4480,2,5,0.318156
4480,2,6,0.252239
4480,3,1,0.735935
4480,3,2,0.544239
4480,3,3,0.407647
4480,3,4,0.304994
4480,3,5,0.227792
4480,3,6,0.169302
4480,4,1,0.692317
4480,4,2,0.481914
4480,4,3,0.341538
4480,4,4,0.239225
4480,4,5,0.165285
4480,4,6,0.114009
4480,5,1,0.650982
4480,5,2,0.426794
4480,5,3,0.285023
4480,5,4,0.187233
4480,5,5,0.118843
4480,5,6,0.0758282
4520,1,1,0.863472
4520,1,2,0.745278
4520,1,3,0.642379
4520,1,4,0.55391
4520,1,5,0.477712
4520,1,6,0.411861
4520,2,1,0.787851
4520,2,2,0.619943
4520,2,3,0.486341
4520,2,4,0.382245
4520,2,5,0.29807
4520,2,6,0.232853
4520,3,1,0.73468
4520,3,2,0.542244
4520,3,3,0.40267
4520,3,4,0.301169
4520,3,5,0.224629
4520,3,6,0.167706
4520,4,1,0.692807
4520,4,2,0.485434
4520,4,3,0.343451
4520,4,4,0.245376
4520,4,5,0.174463
4520,4,6,0.119168
4520,5,1,0.656931
4520,5,2,0.439127
4520,5,3,0.297271
4520,5,4,0.203924
4520,5,5,0.140569
4520,5,6,0.0920263
4560,1,1,0.864303
4560,1,2,0.748862
4560,1,3,0.647503
4560,1,4,0.559899
4560,1,5,0.484415
4560,1,6,0.420124
4560,2,1,0.789352
4560,2,2,0.62584
4560,2,3,0.493895
4560,2,4,0.389461
4560,2,5,0.306077
4560,2,6,0.241456
4560,3,1,0.733063
4560,3,2,0.540088
4560,3,3,0.39564
4560,3,4,0.288695
4560,3,5,0.210021
4560,3,6,0.152964
4560,4,1,0.685458
4560,4,2,0.471545
4560,4,3,0.324112
4560,4,4,0.223814
4560,4,5,0.154939
4560,4,6,0.10835
4560,5,1,0.641953
4560,5,2,0.411774
4560,5,3,0.264608
4560,5,4,0.173421
4560,5,5,0.116559
4560,5,6,0.0763271
4600,1,1,0.863056
4600,1,2,0.746941
4600,1,3,0.645024
4600,1,4,0.555023
4600,1,5,0.478144
4600,1,6,0.411443
4600,2,1,0.788812
4600,2,2,0.624351
4600,2,3,0.492764
4600,2,4,0.388159
4600,2,5,0.304978
4600,2,6,0.23915
4600,3,1,0.734284
4600,3,2,0.543353
4600,3,3,0.400613
4600,3,4,0.296585
4600,3,5,0.219078
4600,3,6,0.16204
4600,4,1,0.688725
4600,4,2,0.481487
4600,4,3,0.336182
4600,4,4,0.23607
4600,4,5,0.163224
4600,4,6,0.11368
4600,5,1,0.648097
4600,5,2,0.428734
4600,5,3,0.285163
4600,5,4,0.191318
4600,5,5,0.12654
4600,5,6,0.083264
4640,1,1,0.864341
4640,1,2,0.746781
4640,1,3,0.644402
4640,1,4,0.556984
4640,1,5,0.482124
4640,1,6,0.418073
4640,2,1,0.7884
4640,2,2,0.621846
4640,2,3,0.489561
4640,2,4,0.387093
4640,2,5,0.30577
4640,2,6,0.241522
4640,3,1,0.732552
4640,3,2,0.537503
4640,3,3,0.391268
4640,3,4,0.287031
4640,3,5,0.20954
4640,3,6,0.152178
4640,4,1,0.687916
4640,4,2,0.476262
4640,4,3,0.328167
4640,4,4,0.226072
4640,4,5,0.155592
4640,4,6,0.10089
4640,5,1,0.648921
4640,5,2,0.428666
4640,5,3,0.280697
4640,5,4,0.185537
4640,5,5,0.118229
4640,5,6,0.0704899
4680,1,1,0.863417
4680,1,2,0.744973
4680,1,3,0.642871
4680,1,4,0.551976
4680,1,5,0.475885
4680,1,6,0.410776
4680,2,1,0.788838
4680,2,2,0.62443
4680,2,3,0.494173
4680,2,4,0.386259
4680,2,5,0.305138
4680,2,6,0.239298
4680,3,1,0.734993
4680,3,2,0.543006
4680,3,3,0.402468
4680,3,4,0.292449
4680,3,5,0.216498
4680,3,6,0.158548
4680,4,1,0.689916
4680,4,2,0.479001
4680,4,3,0.335113
4680,4,4,0.228757
4680,4,5,0.158525
4680,4,6,0.109379
4680,5,1,0.649564
4680,5,2,0.424165
4680,5,3,0.280241
4680,5,4,0.178288
4680,5,5,0.114184
4680,5,6,0.0733593
4720,1,1,0.864488
4720,1,2,0.74719
4720,1,3,0.645033
4720,1,4,0.558177
4720,1,5,0.482796
4720,1,6,0.418089
4720,2,1,0.791331
4720,2,2,0.627123
4720,2,3,0.498043
4720,2,4,0.393626
4720,2,5,0.310264
4720,2,6,0.247196
4720,3,1,0.74019
4720,3,2,0.548952
4720,3,3,0.409949
4720,3,4,0.304393
4720,3,5,0.227642
4720,3,6,0.169874
4720,4,1,0.698342
4720,4,2,0.489058
4720,4,3,0.345911
4720,4,4,0.23955
4720,4,5,0.169062
4720,4,6,0.120002
4720,5,1,0.660647
4720,5,2,0.439359
4720,5,3,0.296402
4720,5,4,0.197382
4720,5,5,0.1319
4720,5,6,0.0893724
4760,1,1,0.865583
4760,1,2,0.750899
4760,1,3,0.651139
4760,1,4,0.565259
4760,1,5,0.49113
4760,1,6,0.427469
4760,2,1,0.790254
4760,2,2,0.625174
4760,2,3,0.495461
4760,2,4,0.39373
4760,2,5,0.311948
4760,2,6,0.247979
4760,3,1,0.736829
4760,3,2,0.545094
4760,3,3,0.403595
4760,3,4,0.301169
4760,3,5,0.223654
4760,3,6,0.166545
4760,4,1,0.690533
4760,4,2,0.480347
4760,4,3,0.333537
4760,4,4,0.236027
4760,4,5,0.163315
4760,4,6,0.111842
4760,5,1,0.647866
4760,5,2,0.424912
4760,5,3,0.278826
4760,5,4,0.187568
4760,5,5,0.121418
4760,5,6,0.0802887
4800,1,1,0.864052
4800,1,2,0.748023
4800,1,3,0.647464
4800,1,4,0.561221
4800,1,5,0.485811
4800,1,6,0.422262
4800,2,1,0.789761
4800,2,2,0.626798
4800,2,3,0.498038
4800,2,4,0.397415
4800,2,5,0.318698
4800,2,6,0.255021
4800,3,1,0.734945
4800,3,2,0.54479
4800,3,3,0.404883
4800,3,4,0.302468
4800,3,5,0.23134
4800,3,6,0.175232
4800,4,1,0.691422
4800,4,2,0.484475
4800,4,3,0.33897
4800,4,4,0.239843
4800,4,5,0.174257
4800,4,6,0.126368
4800,5,1,0.650509
4800,5,2,0.430928
4800,5,3,0.285553
4800,5,4,0.191743
4800,5,5,0.134594
4800,5,6,0.0969885
4840,1,1,0.864086
4840,1,2,0.745813
4840,1,3,0.642551
4840,1,4,0.553724
4840,1,5,0.477485
4840,1,6,0.41169
4840,2,1,0.789857
4840,2,2,0.623203
4840,2,3,0.489525
4840,2,4,0.384424
4840,2,5,0.302794
4840,2,6,0.239137
4840,3,1,0.736904
4840,3,2,0.542572
4840,3,3,0.39565
4840,3,4,0.288827
4840,3,5,0.211004
4840,3,6,0.15415
4840,4,1,0.69216
4840,4,2,0.479854
4840,4,3,0.329895
4840,4,4,0.227781
4840,4,5,0.157895
4840,4,6,0.111181
4840,5,1,0.653819
4840,5,2,0.430812
4840,5,3,0.282717
4840,5,4,0.187014
4840,5,5,0.125731
4840,5,6,0.0880146
4880,1,1,0.865088
4880,1,2,0.748143
4880,1,3,0.647457
4880,1,4,0.560818
4880,1,5,0.48605
4880,1,6,0.422912
4880,2,1,0.791413
4880,2,2,0.624311
4880,2,3,0.494079
4880,2,4,0.392506
4880,2,5,0.3122
4880,2,6,0.249532
4880,3,1,0.735341
4880,3,2,0.538051
4880,3,3,0.395181
4880,3,4,0.291604
4880,3,5,0.215344
4880,3,6,0.161174
4880,4,1,0.690077
4880,4,2,0.470548
4880,4,3,0.322789
4880,4,4,0.22421
4880,4,5,0.157755
4880,4,6,0.113936
4880,5,1,0.650916
4880,5,2,0.41705
4880,5,3,0.267795
4880,5,4,0.173333
4880,5,5,0.113582
4880,5,6,0.0759067
4920,1,1,0.864301
4920,1,2,0.74864
4920,1,3,0.64994
4920,1,4,0.564663
4920,1,5,0.490771
4920,1,6,0.426169
4920,2,1,0.789399
4920,2,2,0.622505
4920,2,3,0.494886
4920,2,4,0.391485
4920,2,5,0.309569
4920,2,6,0.244721
4920,3,1,0.736371
4920,3,2,0.539263
4920,3,3,0.400207
4920,3,4,0.296181
4920,3,5,0.217951
4920,3,6,0.158154
4920,4,1,0.693325
4920,4,2,0.475087
4920,4,3,0.330741
4920,4,4,0.230093
4920,4,5,0.160394
4920,4,6,0.107544
4920,5,1,0.653786
4920,5,2,0.418428
4920,5,3,0.271419
4920,5,4,0.177489
4920,5,5,0.115554
4920,5,6,0.0703849
4960,1,1,0.86585
4960,1,2,0.749877
4960,1,3,0.64935
4960,1,4,0.562969
4960,1,5,0.487323
4960,1,6,0.423111
4960,2,1,0.792047
4960,2,2,0.628581
4960,2,3,0.497836
4960,2,4,0.395915
4960,2,5,0.313147
4960,2,6,0.248088
4960,3,1,0.73934
4960,3,2,0.549286
4960,3,3,0.403602
4960,3,4,0.298095
4960,3,5,0.219952
4960,3,6,0.162228
4960,4,1,0.697506
4960,4,2,0.487633
4960,4,3,0.334233
4960,4,4,0.229094
4960,4,5,0.158331
4960,4,6,0.110833
4960,5,1,0.659935
4960,5,2,0.435555
4960,5,3,0.281751
4960,5,4,0.183139
4960,5,5,0.118551
4960,5,6,0.0750773
5000,1,1,0.863238
5000,1,2,0.744414
5000,1,3,0.64383
5000,1,4,0.554609
5000,1,5,0.478455
5000,1,6,0.412102
5000,2,1,0.785706
5000,2,2,0.616536
5000,2,3,0.486402
5000,2,4,0.3818
5000,2,5,0.298661
5000,2,6,0.233168
5000,3,1,0.731124
5000,3,2,0.534042
5000,3,3,0.392043
5000,3,4,0.283423
5000,3,5,0.204327
5000,3,6,0.14794
5000,4,1,0.688334
5000,4,2,0.473947
5000,4,3,0.328368
5000,4,4,0.221131
5000,4,5,0.149913
5000,4,6,0.100314
5000,5,1,0.649031
5000,5,2,0.420713
5000,5,3,0.276756
5000,5,4,0.177187
5000,5,5,0.11677
5000,5,6,0.0789671
5040,1,1,0.864128
5040,1,2,0.747306
5040,1,3,0.646299
5040,1,4,0.560311
5040,1,5,0.486221
5040,1,6,0.420787
5040,2,1,0.786984
5040,2,2,0.620746
5040,2,3,0.492597
5040,2,4,0.391884
5040,2,5,0.3134
