R,T,Veff,err
1,1,0.2395578999084904,0.00043456842625393566
1,2,0.2383170066455227,0.00065817858006313
1,3,0.2374667376869839,0.0008093075136911159
1,4,0.23745105138988176,0.0010478513773105934
2,1,0.41337292739382825,0.0016783465865335427
2,2,0.41015607403202736,0.0018543472431886941
2,3,0.40742016595494235,0.0030247799274175837
2,4,0.4023678841391023,0.003962710681080402
3,1,0.5616667905180979,0.003263747595697227
3,2,0.5588198152428188,0.0041028919591049725
3,3,0.5608922718766163,0.006184628997122995
3,4,0.5588994192026462,0.008468329270960206
4,1,0.6981871367349743,0.005286663315546376
4,2,0.6990365979310198,0.006248112647189475
4,3,0.6970258675739203,0.011313189699553928
4,4,0.6968419569834268,0.020412830259676665
5,1,0.8289314415797087,0.007529220552054877
5,2,0.8372339274373868,0.009821783542589143
5,3,0.8314546445155635,0.019289330395140254
5,4,0.8295830193914533,0.0407206000747677
