sweep,R,T,W
4040,1,1,0.778041
4040,1,2,0.61223
4040,1,3,0.484007
4040,1,4,0.375096
4040,1,5,0.29337
4040,2,1,0.645087
4040,2,2,0.437768
4040,2,3,0.296276
4040,2,4,0.193588
4040,2,5,0.128046
4040,3,1,0.553815
4040,3,2,0.340507
4040,3,3,0.211206
4040,3,4,0.126115
4040,3,5,0.0687371
4040,4,1,0.476756
4040,4,2,0.27327
4040,4,3,0.147667
4040,4,4,0.0848429
4040,4,5,0.0526209
4040,5,1,0.410989
4040,5,2,0.205134
4040,5,3,0.0825732
4040,5,4,0.0344802
4040,5,5,0.0189188
4080,1,1,0.774394
4080,1,2,0.616807
4080,1,3,0.48795
4080,1,4,0.388094
4080,1,5,0.303568
4080,2,1,0.635995
4080,2,2,0.439212
4080,2,3,0.296575
4080,2,4,0.210269
4080,2,5,0.148065
4080,3,1,0.529651
4080,3,2,0.332329
4080,3,3,0.208918
4080,3,4,0.123961
4080,3,5,0.0808884
4080,4,1,0.438908
4080,4,2,0.245838
4080,4,3,0.138737
4080,4,4,0.0774273
4080,4,5,0.0340883
4080,5,1,0.36847
4080,5,2,0.17773
4080,5,3,0.100529
4080,5,4,0.0510595
4080,5,5,0.0174437
4120,1,1,0.790333
4120,1,2,0.622887
4120,1,3,0.494645
4120,1,4,0.394351
4120,1,5,0.316134
4120,2,1,0.661297
4120,2,2,0.43674
4120,2,3,0.296658
4120,2,4,0.206718
4120,2,5,0.138777
4120,3,1,0.566061
4120,3,2,0.312856
4120,3,3,0.177332
4120,3,4,0.113438
4120,3,5,0.0690785
4120,4,1,0.495976
4120,4,2,0.233899
4120,4,3,0.104081
4120,4,4,0.0574019
4120,4,5,0.0388624
4120,5,1,0.429578
4120,5,2,0.17572
4120,5,3,0.0576928
4120,5,4,0.0495267
4120,5,5,0.0500242
4160,1,1,0.781245
4160,1,2,0.603652
4160,1,3,0.46013
4160,1,4,0.35336
4160,1,5,0.265753
4160,2,1,0.647933
4160,2,2,0.41475
4160,2,3,0.263382
4160,2,4,0.17204
4160,2,5,0.117319
4160,3,1,0.552567
4160,3,2,0.301276
4160,3,3,0.154865
4160,3,4,0.0805599
4160,3,5,0.0476555
4160,4,1,0.473375
4160,4,2,0.220482
4160,4,3,0.0857477
4160,4,4,0.030881
4160,4,5,0.00926867
4160,5,1,0.40946
4160,5,2,0.168012
4160,5,3,0.0687861
4160,5,4,0.0303836
4160,5,5,0.0215998
4200,1,1,0.777911
4200,1,2,0.607367
4200,1,3,0.478086
4200,1,4,0.377805
4200,1,5,0.300838
4200,2,1,0.62619
4200,2,2,0.405359
4200,2,3,0.248999
4200,2,4,0.164351
4200,2,5,0.117718
4200,3,1,0.517447
4200,3,2,0.282317
4200,3,3,0.125914
4200,3,4,0.064428
4200,3,5,0.0385961
4200,4,1,0.435902
4200,4,2,0.197092
4200,4,3,0.0598124
4200,4,4,0.013312
4200,4,5,0.0141833
4200,5,1,0.372955
4200,5,2,0.13032
4200,5,3,0.0252855
4200,5,4,-0.00678882
4200,5,5,-0.00965716
4240,1,1,0.779355
4240,1,2,0.619786
4240,1,3,0.484132
4240,1,4,0.369656
4240,1,5,0.29174
4240,2,1,0.647753
4240,2,2,0.436941
4240,2,3,0.283728
4240,2,4,0.167493
4240,2,5,0.103865
4240,3,1,0.555993
4240,3,2,0.331078
4240,3,3,0.179871
4240,3,4,0.0726663
4240,3,5,0.0214711
4240,4,1,0.482244
4240,4,2,0.24782
4240,4,3,0.102635
4240,4,4,0.0245423
4240,4,5,-0.000157767
4240,5,1,0.419023
4240,5,2,0.183458
4240,5,3,0.0537242
4240,5,4,-0.00242533
4240,5,5,-0.00213116
4280,1,1,0.788097
4280,1,2,0.620491
4280,1,3,0.483019
4280,1,4,0.378996
4280,1,5,0.294594
4280,2,1,0.674364
4280,2,2,0.449776
4280,2,3,0.298825
4280,2,4,0.205401
4280,2,5,0.134488
4280,3,1,0.590654
4280,3,2,0.332401
4280,3,3,0.185676
4280,3,4,0.0968675
4280,3,5,0.0488884
4280,4,1,0.519165
4280,4,2,0.24074
4280,4,3,0.116267
4280,4,4,0.0369847
4280,4,5,0.00636883
4280,5,1,0.457039
4280,5,2,0.196435
4280,5,3,0.0764959
4280,5,4,0.0308263
4280,5,5,0.0190353
4320,1,1,0.779433
4320,1,2,0.624365
4320,1,3,0.501572
4320,1,4,0.407036
4320,1,5,0.3285
4320,2,1,0.650271
4320,2,2,0.454936
4320,2,3,0.320155
4320,2,4,0.219897
4320,2,5,0.149154
4320,3,1,0.560299
4320,3,2,0.36549
4320,3,3,0.233319
4320,3,4,0.142339
4320,3,5,0.0901103
4320,4,1,0.499866
4320,4,2,0.305299
4320,4,3,0.150665
4320,4,4,0.074514
4320,4,5,0.0444531
4320,5,1,0.43927
4320,5,2,0.254648
4320,5,3,0.113834
4320,5,4,0.0449796
4320,5,5,0.0194931
4360,1,1,0.783612
4360,1,2,0.617754
4360,1,3,0.492132
4360,1,4,0.39075
4360,1,5,0.312689
4360,2,1,0.652287
4360,2,2,0.433485
4360,2,3,0.285587
4360,2,4,0.186163
4360,2,5,0.135013
4360,3,1,0.557594
4360,3,2,0.318994
4360,3,3,0.186887
4360,3,4,0.109701
4360,3,5,0.08011
4360,4,1,0.486949
4360,4,2,0.243486
4360,4,3,0.118451
4360,4,4,0.0646129
4360,4,5,0.0438602
4360,5,1,0.433655
4360,5,2,0.189045
4360,5,3,0.0769822
4360,5,4,0.0325339
4360,5,5,0.00403453
4400,1,1,0.78209
4400,1,2,0.614537
4400,1,3,0.486867
4400,1,4,0.382653
4400,1,5,0.289848
4400,2,1,0.649314
4400,2,2,0.428164
4400,2,3,0.288452
4400,2,4,0.19541
4400,2,5,0.125989
4400,3,1,0.552798
4400,3,2,0.314395
4400,3,3,0.175244
4400,3,4,0.107283
4400,3,5,0.048953
4400,4,1,0.481645
4400,4,2,0.239891
4400,4,3,0.109875
4400,4,4,0.0487697
4400,4,5,0.0218229
4400,5,1,0.42247
4400,5,2,0.194815
4400,5,3,0.0799657
4400,5,4,0.0348082
4400,5,5,-0.00842123
4440,1,1,0.792959
4440,1,2,0.622954
4440,1,3,0.487875
4440,1,4,0.388129
4440,1,5,0.313624
4440,2,1,0.673416
4440,2,2,0.450731
4440,2,3,0.303292
4440,2,4,0.197961
4440,2,5,0.123518
4440,3,1,0.582333
4440,3,2,0.350439
4440,3,3,0.20672
4440,3,4,0.111011
4440,3,5,0.0617572
4440,4,1,0.501426
4440,4,2,0.26911
4440,4,3,0.1413
4440,4,4,0.0656827
4440,4,5,0.0276927
4440,5,1,0.441798
4440,5,2,0.209375
4440,5,3,0.102324
4440,5,4,0.0304626
4440,5,5,0.0114953
4480,1,1,0.779559
4480,1,2,0.608856
4480,1,3,0.484449
4480,1,4,0.378745
4480,1,5,0.29427
4480,2,1,0.649525
4480,2,2,0.426068
4480,2,3,0.2844
4480,2,4,0.180852
4480,2,5,0.11948
4480,3,1,0.56154
4480,3,2,0.318978
4480,3,3,0.194891
4480,3,4,0.126771
4480,3,5,0.0754275
4480,4,1,0.494358
4480,4,2,0.252413
4480,4,3,0.132741
4480,4,4,0.0900426
4480,4,5,0.0365332
4480,5,1,0.434772
4480,5,2,0.194732
4480,5,3,0.0925443
4480,5,4,0.0653948
4480,5,5,0.0224731
4520,1,1,0.780709
4520,1,2,0.61568
4520,1,3,0.487186
4520,1,4,0.390677
4520,1,5,0.309732
4520,2,1,0.660624
4520,2,2,0.450621
4520,2,3,0.318857
4520,2,4,0.232853
4520,2,5,0.174205
4520,3,1,0.580015
4520,3,2,0.348582
4520,3,3,0.22259
4520,3,4,0.13367
4520,3,5,0.078819
4520,4,1,0.511767
4520,4,2,0.270935
4520,4,3,0.153664
