sweep,R,T,W
4040,1,1,0.759435
4040,1,2,0.594634
4040,1,3,0.469375
4040,1,4,0.366789
4040,1,5,0.290002
4040,2,1,0.600383
4040,2,2,0.390823
4040,2,3,0.260402
4040,2,4,0.174133
4040,2,5,0.111097
4040,3,1,0.4854
4040,3,2,0.279298
4040,3,3,0.164064
4040,3,4,0.0914551
4040,3,5,0.0388811
4040,4,1,0.39306
4040,4,2,0.209648
4040,4,3,0.106002
4040,4,4,0.0610263
4040,4,5,0.0299644
4040,5,1,0.316713
4040,5,2,0.146285
4040,5,3,0.0549106
4040,5,4,0.0263326
4040,5,5,0.0133519
4080,1,1,0.756771
4080,1,2,0.595382
4080,1,3,0.470585
4080,1,4,0.374251
4080,1,5,0.294575
4080,2,1,0.588726
4080,2,2,0.382837
4080,2,3,0.263205
4080,2,4,0.190652
4080,2,5,0.126701
4080,3,1,0.45193
4080,3,2,0.247281
4080,3,3,0.152951
4080,3,4,0.101455
4080,3,5,0.0502366
4080,4,1,0.339647
4080,4,2,0.15184
4080,4,3,0.0858991
4080,4,4,0.0689019
4080,4,5,0.018229
4080,5,1,0.259883
4080,5,2,0.0897844
4080,5,3,0.0523208
4080,5,4,0.0368969
4080,5,5,0.00812609
4120,1,1,0.765664
4120,1,2,0.600445
4120,1,3,0.47528
4120,1,4,0.376553
4120,1,5,0.296411
4120,2,1,0.593711
4120,2,2,0.388751
4120,2,3,0.264985
4120,2,4,0.184517
4120,2,5,0.122078
4120,3,1,0.463348
4120,3,2,0.250211
4120,3,3,0.141423
4120,3,4,0.0824408
4120,3,5,0.0524362
4120,4,1,0.360955
4120,4,2,0.158184
4120,4,3,0.0651782
4120,4,4,0.0275387
4120,4,5,0.0265082
4120,5,1,0.276001
4120,5,2,0.0922551
4120,5,3,0.0158885
4120,5,4,-0.00100738
4120,5,5,0.0210434
4160,1,1,0.761042
4160,1,2,0.583891
4160,1,3,0.448276
4160,1,4,0.346608
4160,1,5,0.257336
4160,2,1,0.591025
4160,2,2,0.368816
4160,2,3,0.231089
4160,2,4,0.155285
4160,2,5,0.0967924
4160,3,1,0.461696
4160,3,2,0.246155
4160,3,3,0.122661
4160,3,4,0.0622967
4160,3,5,0.0276063
4160,4,1,0.354732
4160,4,2,0.162598
4160,4,3,0.0578582
4160,4,4,0.012165
4160,4,5,-0.00250275
4160,5,1,0.274884
4160,5,2,0.113268
4160,5,3,0.0275779
4160,5,4,0.00182044
4160,5,5,-0.00325691
4200,1,1,0.757827
4200,1,2,0.591758
4200,1,3,0.466648
4200,1,4,0.368833
4200,1,5,0.289653
4200,2,1,0.578933
4200,2,2,0.367002
4200,2,3,0.223302
4200,2,4,0.148504
